Data;VentoPrevisto;Chuva;Pressao;Temperatura;Direcao;V_d1;V_l1;V_l2;V_l3;V_l4;V_l5;V_l6;V_l7;C_l1;C_l2;C_l3;C_l4;C_l5;C_l6;C_l7;D_l1;D_l2;D_l3;D_l4;D_l5;D_l6;D_l7;P_l1;P_l2;P_l3;P_l4;P_l5;P_l6;P_l7;T_l1;T_l2;T_l3;T_l4;T_l5;T_l6;T_l7;Y_est;residual;rabs
2017-01-01 00:00:00;6.82;0.0;1013.14;25.93;97.36;6.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-01-01 01:00:00;6.91;0.0;1013.34;25.73;94.65;7.27;6.82;;;;;;;0.0;;;;;;;97.36;;;;;;;1013.14;;;;;;;25.93;;;;;;;;;
2017-01-01 02:00:00;7.27;0.0;1013.04;25.5;92.98;7.83;6.91;6.82;;;;;;0.0;0.0;;;;;;94.65;97.36;;;;;;1013.34;1013.14;;;;;;25.73;25.93;;;;;;;;
2017-01-01 03:00:00;7.83;0.0;1012.92;23.67;93.62;7.81;7.27;6.91;6.82;;;;;0.0;0.0;0.0;;;;;92.98;94.65;97.36;;;;;1013.04;1013.34;1013.14;;;;;25.5;25.73;25.93;;;;;;;
2017-01-01 04:00:00;7.81;0.0;1013.07;22.97;96.33;7.63;7.83;7.27;6.91;6.82;;;;0.0;0.0;0.0;0.0;;;;93.62;92.98;94.65;97.36;;;;1012.92;1013.04;1013.34;1013.14;;;;23.67;25.5;25.73;25.93;;;;;;
2017-01-01 05:00:00;7.63;0.0;1013.34;21.54;98.83;7.51;7.81;7.83;7.27;6.91;6.82;;;0.0;0.0;0.0;0.0;0.0;;;96.33;93.62;92.98;94.65;97.36;;;1013.07;1012.92;1013.04;1013.34;1013.14;;;22.97;23.67;25.5;25.73;25.93;;;;;
2017-01-01 06:00:00;7.51;0.0;1013.39;20.98;99.54;7.3;7.63;7.81;7.83;7.27;6.91;6.82;;0.0;0.0;0.0;0.0;0.0;0.0;;98.83;96.33;93.62;92.98;94.65;97.36;;1013.34;1013.07;1012.92;1013.04;1013.34;1013.14;;21.54;22.97;23.67;25.5;25.73;25.93;;;;
2017-01-01 07:00:00;7.3;0.0;1013.67;20.49;98.6;7.03;7.51;7.63;7.81;7.83;7.27;6.91;6.82;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.54;98.83;96.33;93.62;92.98;94.65;97.36;1013.39;1013.34;1013.07;1012.92;1013.04;1013.34;1013.14;20.98;21.54;22.97;23.67;25.5;25.73;25.93;7.188079357147217;0.15807935714721655;0.15807935714721655
2017-01-01 08:00:00;7.03;0.0;1014.05;20.21;97.6;6.9;7.3;7.51;7.63;7.81;7.83;7.27;6.91;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.6;99.54;98.83;96.33;93.62;92.98;94.65;1013.67;1013.39;1013.34;1013.07;1012.92;1013.04;1013.34;20.49;20.98;21.54;22.97;23.67;25.5;25.73;6.886580944061279;-0.013419055938721058;0.013419055938721058
2017-01-01 09:00:00;6.9;0.0;1014.79;20.17;98.42;6.4;7.03;7.3;7.51;7.63;7.81;7.83;7.27;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.6;98.6;99.54;98.83;96.33;93.62;92.98;1014.05;1013.67;1013.39;1013.34;1013.07;1012.92;1013.04;20.21;20.49;20.98;21.54;22.97;23.67;25.5;6.803932189941406;0.4039321899414059;0.4039321899414059
2017-01-01 10:00:00;6.4;0.0;1015.33;25.67;97.18;6.77;6.9;7.03;7.3;7.51;7.63;7.81;7.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.42;97.6;98.6;99.54;98.83;96.33;93.62;1014.79;1014.05;1013.67;1013.39;1013.34;1013.07;1012.92;20.17;20.21;20.49;20.98;21.54;22.97;23.67;6.080853462219238;-0.6891465377807613;0.6891465377807613
2017-01-01 11:00:00;6.77;0.0;1015.49;25.87;95.62;6.35;6.4;6.9;7.03;7.3;7.51;7.63;7.81;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.18;98.42;97.6;98.6;99.54;98.83;96.33;1015.33;1014.79;1014.05;1013.67;1013.39;1013.34;1013.07;25.67;20.17;20.21;20.49;20.98;21.54;22.97;6.661959171295166;0.31195917129516637;0.31195917129516637
2017-01-01 12:00:00;6.35;0.0;1015.38;26.52;92.58;5.51;6.77;6.4;6.9;7.03;7.3;7.51;7.63;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95.62;97.18;98.42;97.6;98.6;99.54;98.83;1015.49;1015.33;1014.79;1014.05;1013.67;1013.39;1013.34;25.87;25.67;20.17;20.21;20.49;20.98;21.54;5.787609100341797;0.2776091003417971;0.2776091003417971
2017-01-01 13:00:00;5.51;0.0;1015.28;26.69;90.71;4.26;6.35;6.77;6.4;6.9;7.03;7.3;7.51;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.58;95.62;97.18;98.42;97.6;98.6;99.54;1015.38;1015.49;1015.33;1014.79;1014.05;1013.67;1013.39;26.52;25.87;25.67;20.17;20.21;20.49;20.98;4.80628776550293;0.5462877655029299;0.5462877655029299
2017-01-01 14:00:00;4.26;0.0;1014.47;26.94;88.45;3.05;5.51;6.35;6.77;6.4;6.9;7.03;7.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.71;92.58;95.62;97.18;98.42;97.6;98.6;1015.28;1015.38;1015.49;1015.33;1014.79;1014.05;1013.67;26.69;26.52;25.87;25.67;20.17;20.21;20.49;3.618722677230835;0.5687226772308351;0.5687226772308351
