;Longitude;Latitude;Data;VentoC;Pressao;Temperatura;DirecaoVento
0;-42.75;-14.25;2017-01-01 00:00:00;9.815;882.334;22.192;119.15
1;-42.75;-14.25;2017-01-01 01:00:00;8.735;882.333;18.516;119.2
2;-42.75;-14.25;2017-01-01 02:00:00;8.454;882.0;17.633;120.98
3;-42.75;-14.25;2017-01-01 03:00:00;9.178;882.0;16.916;119.72
4;-42.75;-14.25;2017-01-01 04:00:00;9.186;882.666;16.483;116.72
5;-42.75;-14.25;2017-01-01 05:00:00;9.361;883.0;15.984;117.15
6;-42.75;-14.25;2017-01-01 06:00:00;8.403;883.5;15.8;117.87
7;-42.75;-14.25;2017-01-01 07:00:00;7.396;884.0;16.584;116.68
8;-42.75;-14.25;2017-01-01 08:00:00;7.83;885.0;17.933;115.52
9;-42.75;-14.25;2017-01-01 09:00:00;7.383;885.0;19.05;112.15
10;-42.75;-14.25;2017-01-01 10:00:00;7.1;885.0;20.434;115.05
11;-42.75;-14.25;2017-01-01 11:00:00;6.602;885.0;21.75;111.32
12;-42.75;-14.25;2017-01-01 12:00:00;6.435;884.834;23.083;106.98
13;-42.75;-14.25;2017-01-01 13:00:00;5.556;884.0;24.416;114.5
14;-42.75;-14.25;2017-01-01 14:00:00;5.448;883.5;25.3;103.25
15;-42.75;-14.25;2017-01-01 15:00:00;4.098;883.0;25.984;101.18
16;-42.75;-14.25;2017-01-01 16:00:00;3.74;883.0;26.666;111.98
17;-42.75;-14.25;2017-01-01 17:00:00;3.598;883.0;26.316;115.73
18;-42.75;-14.25;2017-01-01 18:00:00;5.537;883.0;25.817;107.02
19;-42.75;-14.25;2017-01-01 19:00:00;6.072;883.0;25.417;115.2
20;-42.75;-14.25;2017-01-01 20:00:00;5.703;883.0;25.716;112.02
21;-42.75;-14.25;2017-01-01 21:00:00;6.79;884.0;25.717;99.85
22;-42.75;-14.25;2017-01-01 22:00:00;7.781;884.0;24.65;107.95
23;-42.75;-14.25;2017-01-01 23:00:00;8.665;883.166;21.966;105.73
24;-42.75;-14.25;2017-01-02 00:00:00;7.844;882.834;20.984;117.0
25;-42.75;-14.25;2017-01-02 01:00:00;7.728;882.0;20.05;106.7
26;-42.75;-14.25;2017-01-02 02:00:00;7.414;882.0;18.8;115.93
27;-42.75;-14.25;2017-01-02 03:00:00;6.972;881.5;18.116;113.9
28;-42.75;-14.25;2017-01-02 04:00:00;7.182;882.0;17.484;116.82
29;-42.75;-14.25;2017-01-02 05:00:00;6.776;881.834;17.183;114.6
30;-42.75;-14.25;2017-01-02 06:00:00;5.889;882.0;17.15;109.37
31;-42.75;-14.25;2017-01-02 07:00:00;5.663;882.5;17.5;118.05
32;-42.75;-14.25;2017-01-02 08:00:00;4.963;883.0;18.617;111.08
33;-42.75;-14.25;2017-01-02 09:00:00;5.158;883.834;21.034;110.12
34;-42.75;-14.25;2017-01-02 10:00:00;4.946;884.0;22.733;105.02
35;-42.75;-14.25;2017-01-02 11:00:00;4.93;883.834;24.1;115.22
36;-42.75;-14.25;2017-01-02 12:00:00;4.73;883.0;25.383;122.68
37;-42.75;-14.25;2017-01-02 13:00:00;4.465;882.166;26.584;130.72
38;-42.75;-14.25;2017-01-02 14:00:00;4.453;882.0;27.684;130.27
39;-42.75;-14.25;2017-01-02 15:00:00;3.891;881.0;28.184;131.12
40;-42.75;-14.25;2017-01-02 16:00:00;2.92;881.0;28.617;126.35
41;-42.75;-14.25;2017-01-02 17:00:00;2.774;881.0;28.917;122.95
42;-42.75;-14.25;2017-01-02 18:00:00;2.043;881.0;27.566;105.08
43;-42.75;-14.25;2017-01-02 19:00:00;2.144;881.0;27.267;108.37
44;-42.75;-14.25;2017-01-02 20:00:00;4.077;881.0;27.284;106.22
45;-42.75;-14.25;2017-01-02 21:00:00;4.45;881.166;26.883;88.18
46;-42.75;-14.25;2017-01-02 22:00:00;4.814;881.334;25.55;90.15
47;-42.75;-14.25;2017-01-02 23:00:00;6.785;882.0;22.916;102.8
48;-42.75;-14.25;2017-01-03 00:00:00;6.088;881.5;22.217;103.42
49;-42.75;-14.25;2017-01-03 01:00:00;6.361;881.0;21.4;102.98
50;-42.75;-14.25;2017-01-03 02:00:00;5.503;881.0;20.6;111.43
51;-42.75;-14.25;2017-01-03 03:00:00;5.85;881.0;19.334;120.55
52;-42.75;-14.25;2017-01-03 04:00:00;5.704;881.0;18.8;111.75
53;-42.75;-14.25;2017-01-03 05:00:00;4.655;881.334;20.867;89.22
54;-42.75;-14.25;2017-01-03 06:00:00;4.778;882.0;21.534;86.0
55;-42.75;-14.25;2017-01-03 07:00:00;4.174;882.666;21.45;100.0
56;-42.75;-14.25;2017-01-03 08:00:00;3.864;883.0;21.867;102.18
57;-42.75;-14.25;2017-01-03 09:00:00;4.393;883.666;22.8;114.62
58;-42.75;-14.25;2017-01-03 10:00:00;4.122;884.0;23.867;116.75
59;-42.75;-14.25;2017-01-03 11:00:00;4.615;883.166;25.05;125.5
60;-42.75;-14.25;2017-01-03 12:00:00;4.398;883.0;26.316;135.02
61;-42.75;-14.25;2017-01-03 13:00:00;4.502;882.166;27.283;114.1
62;-42.75;-14.25;2017-01-03 14:00:00;4.095;881.834;28.167;125.05
63;-42.75;-14.25;2017-01-03 15:00:00;4.427;881.0;28.733;132.32
64;-42.75;-14.25;2017-01-03 16:00:00;5.945;880.834;28.484;121.38
65;-42.75;-14.25;2017-01-03 17:00:00;6.265;881.0;28.084;116.32
66;-42.75;-14.25;2017-01-03 18:00:00;9.343;880.166;27.367;103.62
67;-42.75;-14.25;2017-01-03 19:00:00;9.228;881.0;26.95;98.57
68;-42.75;-14.25;2017-01-03 20:00:00;8.126;881.0;26.416;87.52
69;-42.75;-14.25;2017-01-03 21:00:00;10.268;882.0;24.716;100.82
70;-42.75;-14.25;2017-01-03 22:00:00;12.435;882.0;23.684;100.97
71;-42.75;-14.25;2017-01-03 23:00:00;11.331;882.0;22.95;100.72
72;-42.75;-14.25;2017-01-04 00:00:00;11.4;882.0;21.883;99.67
73;-42.75;-14.25;2017-01-04 01:00:00;8.247;882.0;20.75;109.38
74;-42.75;-14.25;2017-01-04 02:00:00;6.048;882.0;19.666;112.22
75;-42.75;-14.25;2017-01-04 03:00:00;6.698;882.0;18.816;115.67
76;-42.75;-14.25;2017-01-04 04:00:00;7.934;882.0;18.1;117.03
77;-42.75;-14.25;2017-01-04 05:00:00;7.448;882.166;17.534;118.03
78;-42.75;-14.25;2017-01-04 06:00:00;7.265;883.0;17.284;119.12
79;-42.75;-14.25;2017-01-04 07:00:00;5.625;883.166;17.133;104.22
80;-42.75;-14.25;2017-01-04 08:00:00;6.096;884.0;17.684;102.1
81;-42.75;-14.25;2017-01-04 09:00:00;5.444;884.834;19.467;105.82
82;-42.75;-14.25;2017-01-04 10:00:00;5.955;885.0;20.984;113.23
83;-42.75;-14.25;2017-01-04 11:00:00;6.162;885.0;22.016;116.2
84;-42.75;-14.25;2017-01-04 12:00:00;5.445;884.834;23.034;132.05
85;-42.75;-14.25;2017-01-04 13:00:00;5.455;884.0;24.016;131.37
86;-42.75;-14.25;2017-01-04 14:00:00;6.238;883.834;23.234;122.6
87;-42.75;-14.25;2017-01-04 15:00:00;4.664;883.0;24.583;121.45
88;-42.75;-14.25;2017-01-04 16:00:00;6.158;883.0;25.784;125.92
89;-42.75;-14.25;2017-01-04 17:00:00;6.715;883.0;25.6;115.28
90;-42.75;-14.25;2017-01-04 18:00:00;8.586;882.666;24.5;106.95
91;-42.75;-14.25;2017-01-04 19:00:00;10.652;882.334;23.883;105.12
92;-42.75;-14.25;2017-01-04 20:00:00;10.622;883.0;23.617;104.17
93;-42.75;-14.25;2017-01-04 21:00:00;9.779;883.0;23.6;93.92
94;-42.75;-14.25;2017-01-04 22:00:00;8.102;884.0;23.684;89.63
95;-42.75;-14.25;2017-01-04 23:00:00;6.646;884.0;22.8;94.0
96;-42.75;-14.25;2017-01-05 00:00:00;8.217;883.0;20.684;103.63
97;-42.75;-14.25;2017-01-05 01:00:00;7.031;883.0;19.766;110.23
98;-42.75;-14.25;2017-01-05 02:00:00;8.177;883.0;18.716;111.98
99;-42.75;-14.25;2017-01-05 03:00:00;8.093;883.0;17.933;109.5
100;-42.75;-14.25;2017-01-05 04:00:00;8.565;883.0;17.3;111.03
101;-42.75;-14.25;2017-01-05 05:00:00;8.673;883.666;16.434;118.53
102;-42.75;-14.25;2017-01-05 06:00:00;8.663;884.0;16.05;117.33
103;-42.75;-14.25;2017-01-05 07:00:00;8.205;884.334;16.85;108.43
104;-42.75;-14.25;2017-01-05 08:00:00;9.155;885.0;18.066;97.5
105;-42.75;-14.25;2017-01-05 09:00:00;7.928;885.666;19.716;105.18
106;-42.75;-14.25;2017-01-05 10:00:00;7.485;886.0;21.35;100.97
107;-42.75;-14.25;2017-01-05 11:00:00;6.908;885.334;23.05;109.28
108;-42.75;-14.25;2017-01-05 12:00:00;7.39;885.0;24.25;110.13
109;-42.75;-14.25;2017-01-05 13:00:00;6.77;884.666;25.5;109.52
110;-42.75;-14.25;2017-01-05 14:00:00;6.306;884.0;26.55;124.85
111;-42.75;-14.25;2017-01-05 15:00:00;6.53;883.666;26.766;95.28
112;-42.75;-14.25;2017-01-05 16:00:00;6.593;883.0;27.117;83.78
113;-42.75;-14.25;2017-01-05 17:00:00;6.598;883.0;27.1;109.27
114;-42.75;-14.25;2017-01-05 18:00:00;8.515;883.0;26.383;104.62
115;-42.75;-14.25;2017-01-05 19:00:00;8.878;883.0;26.067;98.83
116;-42.75;-14.25;2017-01-05 20:00:00;8.11;883.0;25.983;93.05
117;-42.75;-14.25;2017-01-05 21:00:00;9.034;883.5;24.734;96.42
118;-42.75;-14.25;2017-01-05 22:00:00;9.426;884.0;22.683;95.37
119;-42.75;-14.25;2017-01-05 23:00:00;8.947;884.0;21.466;94.4
120;-42.75;-14.25;2017-01-06 00:00:00;9.304;883.166;20.717;98.92
121;-42.75;-14.25;2017-01-06 01:00:00;6.324;883.0;19.85;116.45
122;-42.75;-14.25;2017-01-06 02:00:00;5.228;883.0;18.25;135.52
123;-42.75;-14.25;2017-01-06 03:00:00;5.268;883.0;17.416;135.75
124;-42.75;-14.25;2017-01-06 04:00:00;5.652;883.0;16.7;134.5
125;-42.75;-14.25;2017-01-06 05:00:00;5.365;883.834;16.216;125.8
126;-42.75;-14.25;2017-01-06 06:00:00;6.306;884.0;16.0;116.88
127;-42.75;-14.25;2017-01-06 07:00:00;4.744;884.0;16.266;112.42
128;-42.75;-14.25;2017-01-06 08:00:00;4.773;884.834;17.4;105.45
129;-42.75;-14.25;2017-01-06 09:00:00;6.476;885.0;19.033;111.82
130;-42.75;-14.25;2017-01-06 10:00:00;6.607;885.0;20.4;113.47
131;-42.75;-14.25;2017-01-06 11:00:00;7.497;884.5;21.9;120.02
132;-42.75;-14.25;2017-01-06 12:00:00;8.545;884.0;23.15;120.82
133;-42.75;-14.25;2017-01-06 13:00:00;7.878;883.666;24.05;114.92
134;-42.75;-14.25;2017-01-06 14:00:00;8.01;883.0;24.867;119.72
135;-42.75;-14.25;2017-01-06 15:00:00;8.097;883.0;25.45;122.53
136;-42.75;-14.25;2017-01-06 16:00:00;8.198;882.667;25.383;118.4
137;-42.75;-14.25;2017-01-06 17:00:00;6.878;882.0;24.816;117.58
138;-42.75;-14.25;2017-01-06 18:00:00;7.825;882.166;24.45;123.1
139;-42.75;-14.25;2017-01-06 19:00:00;8.027;883.0;23.617;90.12
140;-42.75;-14.25;2017-01-06 20:00:00;9.456;883.0;23.084;99.47
141;-42.75;-14.25;2017-01-06 21:00:00;8.705;883.0;22.316;116.53
142;-42.75;-14.25;2017-01-06 22:00:00;8.094;883.0;21.534;110.23
143;-42.75;-14.25;2017-01-06 23:00:00;8.526;883.0;20.4;120.32
144;-42.75;-14.25;2017-01-07 00:00:00;6.861;883.0;19.15;122.3
145;-42.75;-14.25;2017-01-07 01:00:00;8.04;883.0;18.684;102.65
146;-42.75;-14.25;2017-01-07 02:00:00;7.012;882.166;18.166;89.22
147;-42.75;-14.25;2017-01-07 03:00:00;8.794;882.5;17.484;100.27
148;-42.75;-14.25;2017-01-07 04:00:00;7.658;883.0;16.584;104.6
149;-42.75;-14.25;2017-01-07 05:00:00;7.347;883.666;15.917;109.35
150;-42.75;-14.25;2017-01-07 06:00:00;10.754;884.0;15.516;104.73
151;-42.75;-14.25;2017-01-07 07:00:00;11.185;884.5;16.35;102.27
152;-42.75;-14.25;2017-01-07 08:00:00;9.728;885.166;17.584;95.92
153;-42.75;-14.25;2017-01-07 09:00:00;9.014;886.0;18.966;103.55
154;-42.75;-14.25;2017-01-07 10:00:00;7.805;886.0;20.1;102.38
155;-42.75;-14.25;2017-01-07 11:00:00;7.371;885.0;21.45;95.32
156;-42.75;-14.25;2017-01-07 12:00:00;6.805;884.5;23.084;108.65
157;-42.75;-14.25;2017-01-07 13:00:00;6.575;883.834;24.467;111.27
158;-42.75;-14.25;2017-01-07 14:00:00;7.485;883.166;25.333;117.65
159;-42.75;-14.25;2017-01-07 15:00:00;7.528;883.0;26.05;115.37
160;-42.75;-14.25;2017-01-07 16:00:00;7.695;883.0;26.184;111.25
161;-42.75;-14.25;2017-01-07 17:00:00;7.876;882.834;25.883;113.5
162;-42.75;-14.25;2017-01-07 18:00:00;9.158;882.666;25.216;104.18
163;-42.75;-14.25;2017-01-07 19:00:00;9.038;883.0;24.3;98.43
164;-42.75;-14.25;2017-01-07 20:00:00;8.477;883.0;23.05;86.32
165;-42.75;-14.25;2017-01-07 21:00:00;7.673;883.0;21.7;83.22
166;-42.75;-14.25;2017-01-07 22:00:00;7.826;883.834;20.534;81.1
167;-42.75;-14.25;2017-01-07 23:00:00;8.806;883.166;19.3;79.07
168;-42.75;-14.25;2017-01-08 00:00:00;8.942;883.0;18.55;89.47
169;-42.75;-14.25;2017-01-08 01:00:00;7.77;883.0;18.017;99.52
170;-42.75;-14.25;2017-01-08 02:00:00;6.647;883.0;17.2;112.28
171;-42.75;-14.25;2017-01-08 03:00:00;7.031;883.0;16.85;114.98
172;-42.75;-14.25;2017-01-08 04:00:00;9.475;883.0;16.434;116.23
173;-42.75;-14.25;2017-01-08 05:00:00;9.532;883.334;15.8;114.77
174;-42.75;-14.25;2017-01-08 06:00:00;7.713;884.0;15.734;112.27
175;-42.75;-14.25;2017-01-08 07:00:00;5.434;884.166;16.8;102.42
176;-42.75;-14.25;2017-01-08 08:00:00;7.167;884.666;17.784;103.38
