Data;VentoC;Pressao;Temperatura;V_d1;V_l1;V_l2;V_l3;V_l4;V_l5;V_l6;V_l7;P_l1;P_l2;P_l3;P_l4;P_l5;P_l6;P_l7;T_l1;T_l2;T_l3;T_l4;T_l5;T_l6;T_l7;Y_est;residual;rabs
2017-01-01 00:00:00;9.815;882.334;22.192;8.735;;;;;;;;;;;;;;;;;;;;;;;;
2017-01-01 01:00:00;8.735;882.333;18.516;8.454;9.815;;;;;;;882.334;;;;;;;22.192;;;;;;;;;
2017-01-01 02:00:00;8.454;882.0;17.633;9.178;8.735;9.815;;;;;;882.333;882.334;;;;;;18.516;22.192;;;;;;;;
2017-01-01 03:00:00;9.178;882.0;16.916;9.186;8.454;8.735;9.815;;;;;882.0;882.333;882.334;;;;;17.633;18.516;22.192;;;;;;;
2017-01-01 04:00:00;9.186;882.666;16.483;9.361;9.178;8.454;8.735;9.815;;;;882.0;882.0;882.333;882.334;;;;16.916;17.633;18.516;22.192;;;;;;
2017-01-01 05:00:00;9.361;883.0;15.984;8.403;9.186;9.178;8.454;8.735;9.815;;;882.666;882.0;882.0;882.333;882.334;;;16.483;16.916;17.633;18.516;22.192;;;;;
2017-01-01 06:00:00;8.403;883.5;15.8;7.396;9.361;9.186;9.178;8.454;8.735;9.815;;883.0;882.666;882.0;882.0;882.333;882.334;;15.984;16.483;16.916;17.633;18.516;22.192;;;;
2017-01-01 07:00:00;7.396;884.0;16.584;7.83;8.403;9.361;9.186;9.178;8.454;8.735;9.815;883.5;883.0;882.666;882.0;882.0;882.333;882.334;15.8;15.984;16.483;16.916;17.633;18.516;22.192;7.112916469573975;-0.7170835304260255;0.7170835304260255
2017-01-01 08:00:00;7.83;885.0;17.933;7.383;7.396;8.403;9.361;9.186;9.178;8.454;8.735;884.0;883.5;883.0;882.666;882.0;882.0;882.333;16.584;15.8;15.984;16.483;16.916;17.633;18.516;7.716393947601318;0.33339394760131835;0.33339394760131835
2017-01-01 09:00:00;7.383;885.0;19.05;7.1;7.83;7.396;8.403;9.361;9.186;9.178;8.454;885.0;884.0;883.5;883.0;882.666;882.0;882.0;17.933;16.584;15.8;15.984;16.483;16.916;17.633;7.043022155761719;-0.056977844238280895;0.056977844238280895
2017-01-01 10:00:00;7.1;885.0;20.434;6.602;7.383;7.83;7.396;8.403;9.361;9.186;9.178;885.0;885.0;884.0;883.5;883.0;882.666;882.0;19.05;17.933;16.584;15.8;15.984;16.483;16.916;6.836615085601807;0.23461508560180633;0.23461508560180633
2017-01-01 11:00:00;6.602;885.0;21.75;6.435;7.1;7.383;7.83;7.396;8.403;9.361;9.186;885.0;885.0;885.0;884.0;883.5;883.0;882.666;20.434;19.05;17.933;16.584;15.8;15.984;16.483;6.376318454742432;-0.05868154525756797;0.05868154525756797
