;index;Longitude;Latitude;Data;pressao_Verif
0;0;-42.75;-14.25;2017-01-01 00:00:00;882.334
1;1;-42.75;-14.25;2017-01-01 01:00:00;882.333
2;2;-42.75;-14.25;2017-01-01 02:00:00;882.0
3;3;-42.75;-14.25;2017-01-01 03:00:00;882.0
4;4;-42.75;-14.25;2017-01-01 04:00:00;882.666
5;5;-42.75;-14.25;2017-01-01 05:00:00;883.0
6;6;-42.75;-14.25;2017-01-01 06:00:00;883.5
7;7;-42.75;-14.25;2017-01-01 07:00:00;884.0
8;8;-42.75;-14.25;2017-01-01 08:00:00;885.0
9;9;-42.75;-14.25;2017-01-01 09:00:00;885.0
10;10;-42.75;-14.25;2017-01-01 10:00:00;885.0
11;11;-42.75;-14.25;2017-01-01 11:00:00;885.0
12;12;-42.75;-14.25;2017-01-01 12:00:00;884.834
13;13;-42.75;-14.25;2017-01-01 13:00:00;884.0
14;14;-42.75;-14.25;2017-01-01 14:00:00;883.5
15;15;-42.75;-14.25;2017-01-01 15:00:00;883.0
16;16;-42.75;-14.25;2017-01-01 16:00:00;883.0
17;17;-42.75;-14.25;2017-01-01 17:00:00;883.0
18;18;-42.75;-14.25;2017-01-01 18:00:00;883.0
19;19;-42.75;-14.25;2017-01-01 19:00:00;883.0
20;20;-42.75;-14.25;2017-01-01 20:00:00;883.0
21;21;-42.75;-14.25;2017-01-01 21:00:00;884.0
22;22;-42.75;-14.25;2017-01-01 22:00:00;884.0
23;23;-42.75;-14.25;2017-01-01 23:00:00;883.166
24;24;-42.75;-14.25;2017-01-02 00:00:00;882.834
25;25;-42.75;-14.25;2017-01-02 01:00:00;882.0
26;26;-42.75;-14.25;2017-01-02 02:00:00;882.0
27;27;-42.75;-14.25;2017-01-02 03:00:00;881.5
28;28;-42.75;-14.25;2017-01-02 04:00:00;882.0
29;29;-42.75;-14.25;2017-01-02 05:00:00;881.834
30;30;-42.75;-14.25;2017-01-02 06:00:00;882.0
31;31;-42.75;-14.25;2017-01-02 07:00:00;882.5
32;32;-42.75;-14.25;2017-01-02 08:00:00;883.0
33;33;-42.75;-14.25;2017-01-02 09:00:00;883.834
34;34;-42.75;-14.25;2017-01-02 10:00:00;884.0
35;35;-42.75;-14.25;2017-01-02 11:00:00;883.834
36;36;-42.75;-14.25;2017-01-02 12:00:00;883.0
37;37;-42.75;-14.25;2017-01-02 13:00:00;882.166
38;38;-42.75;-14.25;2017-01-02 14:00:00;882.0
39;39;-42.75;-14.25;2017-01-02 15:00:00;881.0
40;40;-42.75;-14.25;2017-01-02 16:00:00;881.0
41;41;-42.75;-14.25;2017-01-02 17:00:00;881.0
42;42;-42.75;-14.25;2017-01-02 18:00:00;881.0
43;43;-42.75;-14.25;2017-01-02 19:00:00;881.0
44;44;-42.75;-14.25;2017-01-02 20:00:00;881.0
45;45;-42.75;-14.25;2017-01-02 21:00:00;881.166
46;46;-42.75;-14.25;2017-01-02 22:00:00;881.334
47;47;-42.75;-14.25;2017-01-02 23:00:00;882.0
48;48;-42.75;-14.25;2017-01-03 00:00:00;881.5
49;49;-42.75;-14.25;2017-01-03 01:00:00;881.0
50;50;-42.75;-14.25;2017-01-03 02:00:00;881.0
51;51;-42.75;-14.25;2017-01-03 03:00:00;881.0
52;52;-42.75;-14.25;2017-01-03 04:00:00;881.0
53;53;-42.75;-14.25;2017-01-03 05:00:00;881.334
54;54;-42.75;-14.25;2017-01-03 06:00:00;882.0
55;55;-42.75;-14.25;2017-01-03 07:00:00;882.666
56;56;-42.75;-14.25;2017-01-03 08:00:00;883.0
57;57;-42.75;-14.25;2017-01-03 09:00:00;883.666
58;58;-42.75;-14.25;2017-01-03 10:00:00;884.0
59;59;-42.75;-14.25;2017-01-03 11:00:00;883.166
60;60;-42.75;-14.25;2017-01-03 12:00:00;883.0
61;61;-42.75;-14.25;2017-01-03 13:00:00;882.166
62;62;-42.75;-14.25;2017-01-03 14:00:00;881.834
63;63;-42.75;-14.25;2017-01-03 15:00:00;881.0
64;64;-42.75;-14.25;2017-01-03 16:00:00;880.834
65;65;-42.75;-14.25;2017-01-03 17:00:00;881.0
66;66;-42.75;-14.25;2017-01-03 18:00:00;880.166
67;67;-42.75;-14.25;2017-01-03 19:00:00;881.0
68;68;-42.75;-14.25;2017-01-03 20:00:00;881.0
69;69;-42.75;-14.25;2017-01-03 21:00:00;882.0
70;70;-42.75;-14.25;2017-01-03 22:00:00;882.0
71;71;-42.75;-14.25;2017-01-03 23:00:00;882.0
72;72;-42.75;-14.25;2017-01-04 00:00:00;882.0
73;73;-42.75;-14.25;2017-01-04 01:00:00;882.0
74;74;-42.75;-14.25;2017-01-04 02:00:00;882.0
75;75;-42.75;-14.25;2017-01-04 03:00:00;882.0
76;76;-42.75;-14.25;2017-01-04 04:00:00;882.0
77;77;-42.75;-14.25;2017-01-04 05:00:00;882.166
78;78;-42.75;-14.25;2017-01-04 06:00:00;883.0
79;79;-42.75;-14.25;2017-01-04 07:00:00;883.166
80;80;-42.75;-14.25;2017-01-04 08:00:00;884.0
81;81;-42.75;-14.25;2017-01-04 09:00:00;884.834
82;82;-42.75;-14.25;2017-01-04 10:00:00;885.0
83;83;-42.75;-14.25;2017-01-04 11:00:00;885.0
