;Longitude;Latitude;Data;VentoC
0;-42.75;-14.25;2017-01-01 00:00:00;9.815
1;-42.75;-14.25;2017-01-01 01:00:00;8.735
2;-42.75;-14.25;2017-01-01 02:00:00;8.454
3;-42.75;-14.25;2017-01-01 03:00:00;9.178
4;-42.75;-14.25;2017-01-01 04:00:00;9.186
5;-42.75;-14.25;2017-01-01 05:00:00;9.361
6;-42.75;-14.25;2017-01-01 06:00:00;8.403
7;-42.75;-14.25;2017-01-01 07:00:00;7.396
8;-42.75;-14.25;2017-01-01 08:00:00;7.83
9;-42.75;-14.25;2017-01-01 09:00:00;7.383
10;-42.75;-14.25;2017-01-01 10:00:00;7.1
11;-42.75;-14.25;2017-01-01 11:00:00;6.602
12;-42.75;-14.25;2017-01-01 12:00:00;6.435
13;-42.75;-14.25;2017-01-01 13:00:00;5.556
14;-42.75;-14.25;2017-01-01 14:00:00;5.448
15;-42.75;-14.25;2017-01-01 15:00:00;4.098
16;-42.75;-14.25;2017-01-01 16:00:00;3.74
17;-42.75;-14.25;2017-01-01 17:00:00;3.598
18;-42.75;-14.25;2017-01-01 18:00:00;5.537
19;-42.75;-14.25;2017-01-01 19:00:00;6.072
20;-42.75;-14.25;2017-01-01 20:00:00;5.703
21;-42.75;-14.25;2017-01-01 21:00:00;6.79
22;-42.75;-14.25;2017-01-01 22:00:00;7.781
23;-42.75;-14.25;2017-01-01 23:00:00;8.665
24;-42.75;-14.25;2017-01-02 00:00:00;7.844
25;-42.75;-14.25;2017-01-02 01:00:00;7.728
26;-42.75;-14.25;2017-01-02 02:00:00;7.414
27;-42.75;-14.25;2017-01-02 03:00:00;6.972
28;-42.75;-14.25;2017-01-02 04:00:00;7.182
29;-42.75;-14.25;2017-01-02 05:00:00;6.776
30;-42.75;-14.25;2017-01-02 06:00:00;5.889
31;-42.75;-14.25;2017-01-02 07:00:00;5.663
32;-42.75;-14.25;2017-01-02 08:00:00;4.963
33;-42.75;-14.25;2017-01-02 09:00:00;5.158
34;-42.75;-14.25;2017-01-02 10:00:00;4.946
35;-42.75;-14.25;2017-01-02 11:00:00;4.93
36;-42.75;-14.25;2017-01-02 12:00:00;4.73
37;-42.75;-14.25;2017-01-02 13:00:00;4.465
38;-42.75;-14.25;2017-01-02 14:00:00;4.453
39;-42.75;-14.25;2017-01-02 15:00:00;3.891
40;-42.75;-14.25;2017-01-02 16:00:00;2.92
41;-42.75;-14.25;2017-01-02 17:00:00;2.774
42;-42.75;-14.25;2017-01-02 18:00:00;2.043
43;-42.75;-14.25;2017-01-02 19:00:00;2.144
44;-42.75;-14.25;2017-01-02 20:00:00;4.077
45;-42.75;-14.25;2017-01-02 21:00:00;4.45
46;-42.75;-14.25;2017-01-02 22:00:00;4.814
47;-42.75;-14.25;2017-01-02 23:00:00;6.785
48;-42.75;-14.25;2017-01-03 00:00:00;6.088
49;-42.75;-14.25;2017-01-03 01:00:00;6.361
50;-42.75;-14.25;2017-01-03 02:00:00;5.503
51;-42.75;-14.25;2017-01-03 03:00:00;5.85
52;-42.75;-14.25;2017-01-03 04:00:00;5.704
53;-42.75;-14.25;2017-01-03 05:00:00;4.655
54;-42.75;-14.25;2017-01-03 06:00:00;4.778
55;-42.75;-14.25;2017-01-03 07:00:00;4.174
56;-42.75;-14.25;2017-01-03 08:00:00;3.864
57;-42.75;-14.25;2017-01-03 09:00:00;4.393
58;-42.75;-14.25;2017-01-03 10:00:00;4.122
59;-42.75;-14.25;2017-01-03 11:00:00;4.615
60;-42.75;-14.25;2017-01-03 12:00:00;4.398
61;-42.75;-14.25;2017-01-03 13:00:00;4.502
62;-42.75;-14.25;2017-01-03 14:00:00;4.095
63;-42.75;-14.25;2017-01-03 15:00:00;4.427
64;-42.75;-14.25;2017-01-03 16:00:00;5.945
65;-42.75;-14.25;2017-01-03 17:00:00;6.265
66;-42.75;-14.25;2017-01-03 18:00:00;9.343
67;-42.75;-14.25;2017-01-03 19:00:00;9.228
68;-42.75;-14.25;2017-01-03 20:00:00;8.126
69;-42.75;-14.25;2017-01-03 21:00:00;10.268
70;-42.75;-14.25;2017-01-03 22:00:00;12.435
71;-42.75;-14.25;2017-01-03 23:00:00;11.331
72;-42.75;-14.25;2017-01-04 00:00:00;11.4
73;-42.75;-14.25;2017-01-04 01:00:00;8.247
74;-42.75;-14.25;2017-01-04 02:00:00;6.048
75;-42.75;-14.25;2017-01-04 03:00:00;6.698
76;-42.75;-14.25;2017-01-04 04:00:00;7.934
77;-42.75;-14.25;2017-01-04 05:00:00;7.448
78;-42.75;-14.25;2017-01-04 06:00:00;7.265
79;-42.75;-14.25;2017-01-04 07:00:00;5.625
80;-42.75;-14.25;2017-01-04 08:00:00;6.096
81;-42.75;-14.25;2017-01-04 09:00:00;5.444
82;-42.75;-14.25;2017-01-04 10:00:00;5.955
83;-42.75;-14.25;2017-01-04 11:00:00;6.162
84;-42.75;-14.25;2017-01-04 12:00:00;5.445
85;-42.75;-14.25;2017-01-04 13:00:00;5.455
86;-42.75;-14.25;2017-01-04 14:00:00;6.238
87;-42.75;-14.25;2017-01-04 15:00:00;4.664
88;-42.75;-14.25;2017-01-04 16:00:00;6.158
89;-42.75;-14.25;2017-01-04 17:00:00;6.715
90;-42.75;-14.25;2017-01-04 18:00:00;8.586
91;-42.75;-14.25;2017-01-04 19:00:00;10.652
92;-42.75;-14.25;2017-01-04 20:00:00;10.622
93;-42.75;-14.25;2017-01-04 21:00:00;9.779
94;-42.75;-14.25;2017-01-04 22:00:00;8.102
95;-42.75;-14.25;2017-01-04 23:00:00;6.646
96;-42.75;-14.25;2017-01-05 00:00:00;8.217
97;-42.75;-14.25;2017-01-05 01:00:00;7.031
98;-42.75;-14.25;2017-01-05 02:00:00;8.177
99;-42.75;-14.25;2017-01-05 03:00:00;8.093
100;-42.75;-14.25;2017-01-05 04:00:00;8.565
101;-42.75;-14.25;2017-01-05 05:00:00;8.673
102;-42.75;-14.25;2017-01-05 06:00:00;8.663
103;-42.75;-14.25;2017-01-05 07:00:00;8.205
104;-42.75;-14.25;2017-01-05 08:00:00;9.155
105;-42.75;-14.25;2017-01-05 09:00:00;7.928
106;-42.75;-14.25;2017-01-05 10:00:00;7.485
107;-42.75;-14.25;2017-01-05 11:00:00;6.908
108;-42.75;-14.25;2017-01-05 12:00:00;7.39
109;-42.75;-14.25;2017-01-05 13:00:00;6.77
110;-42.75;-14.25;2017-01-05 14:00:00;6.306
111;-42.75;-14.25;2017-01-05 15:00:00;6.53
112;-42.75;-14.25;2017-01-05 16:00:00;6.593
113;-42.75;-14.25;2017-01-05 17:00:00;6.598
114;-42.75;-14.25;2017-01-05 18:00:00;8.515
115;-42.75;-14.25;2017-01-05 19:00:00;8.878
116;-42.75;-14.25;2017-01-05 20:00:00;8.11
117;-42.75;-14.25;2017-01-05 21:00:00;9.034
118;-42.75;-14.25;2017-01-05 22:00:00;9.426
119;-42.75;-14.25;2017-01-05 23:00:00;8.947
120;-42.75;-14.25;2017-01-06 00:00:00;9.304
121;-42.75;-14.25;2017-01-06 01:00:00;6.324
122;-42.75;-14.25;2017-01-06 02:00:00;5.228
123;-42.75;-14.25;2017-01-06 03:00:00;5.268
124;-42.75;-14.25;2017-01-06 04:00:00;5.652
125;-42.75;-14.25;2017-01-06 05:00:00;5.365
126;-42.75;-14.25;2017-01-06 06:00:00;6.306
127;-42.75;-14.25;2017-01-06 07:00:00;4.744
128;-42.75;-14.25;2017-01-06 08:00:00;4.773
129;-42.75;-14.25;2017-01-06 09:00:00;6.476
130;-42.75;-14.25;2017-01-06 10:00:00;6.607
131;-42.75;-14.25;2017-01-06 11:00:00;7.497
132;-42.75;-14.25;2017-01-06 12:00:00;8.545
133;-42.75;-14.25;2017-01-06 13:00:00;7.878
134;-42.75;-14.25;2017-01-06 14:00:00;8.01
135;-42.75;-14.25;2017-01-06 15:00:00;8.097
136;-42.75;-14.25;2017-01-06 16:00:00;8.198
137;-42.75;-14.25;2017-01-06 17:00:00;6.878
138;-42.75;-14.25;2017-01-06 18:00:00;7.825
139;-42.75;-14.25;2017-01-06 19:00:00;8.027
