Data;VentoPrevisto;VentoC;Chuva;Pressao;Temperatura;Direcao;V_d1;V_l1;V_l2;V_l3;V_l4;V_l5;V_l6;V_l7;C_l1;C_l2;C_l3;C_l4;C_l5;C_l6;C_l7;D_l1;D_l2;D_l3;D_l4;D_l5;D_l6;D_l7;P_l1;P_l2;P_l3;P_l4;P_l5;P_l6;P_l7;T_l1;T_l2;T_l3;T_l4;T_l5;T_l6;T_l7;T_VP1;T_VP2;T_VP3;T_VP4;T_VP5;T_VP6;T_VP7;Y_est;residual;rabs
2017-01-01 00:00:00;6.82;9.815;0.0;1013.14;25.93;97.36;8.735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2017-01-01 01:00:00;6.91;8.735;0.0;1013.34;25.73;94.65;8.454;9.815;;;;;;;0.0;;;;;;;97.36;;;;;;;1013.14;;;;;;;25.93;;;;;;;6.82;;;;;;;;;
2017-01-01 02:00:00;7.27;8.454;0.0;1013.04;25.5;92.98;9.178;8.735;9.815;;;;;;0.0;0.0;;;;;;94.65;97.36;;;;;;1013.34;1013.14;;;;;;25.73;25.93;;;;;;6.91;6.82;;;;;;;;
2017-01-01 03:00:00;7.83;9.178;0.0;1012.92;23.67;93.62;9.186;8.454;8.735;9.815;;;;;0.0;0.0;0.0;;;;;92.98;94.65;97.36;;;;;1013.04;1013.34;1013.14;;;;;25.5;25.73;25.93;;;;;7.27;6.91;6.82;;;;;;;
2017-01-01 04:00:00;7.81;9.186;0.0;1013.07;22.97;96.33;9.361;9.178;8.454;8.735;9.815;;;;0.0;0.0;0.0;0.0;;;;93.62;92.98;94.65;97.36;;;;1012.92;1013.04;1013.34;1013.14;;;;23.67;25.5;25.73;25.93;;;;7.83;7.27;6.91;6.82;;;;;;
2017-01-01 05:00:00;7.63;9.361;0.0;1013.34;21.54;98.83;8.403;9.186;9.178;8.454;8.735;9.815;;;0.0;0.0;0.0;0.0;0.0;;;96.33;93.62;92.98;94.65;97.36;;;1013.07;1012.92;1013.04;1013.34;1013.14;;;22.97;23.67;25.5;25.73;25.93;;;7.81;7.83;7.27;6.91;6.82;;;;;
2017-01-01 06:00:00;7.51;8.403;0.0;1013.39;20.98;99.54;7.396;9.361;9.186;9.178;8.454;8.735;9.815;;0.0;0.0;0.0;0.0;0.0;0.0;;98.83;96.33;93.62;92.98;94.65;97.36;;1013.34;1013.07;1012.92;1013.04;1013.34;1013.14;;21.54;22.97;23.67;25.5;25.73;25.93;;7.63;7.81;7.83;7.27;6.91;6.82;;;;
2017-01-01 07:00:00;7.3;7.396;0.0;1013.67;20.49;98.6;7.83;8.403;9.361;9.186;9.178;8.454;8.735;9.815;0.0;0.0;0.0;0.0;0.0;0.0;0.0;99.54;98.83;96.33;93.62;92.98;94.65;97.36;1013.39;1013.34;1013.07;1012.92;1013.04;1013.34;1013.14;20.98;21.54;22.97;23.67;25.5;25.73;25.93;7.51;7.63;7.81;7.83;7.27;6.91;6.82;7.279041290283203;-0.550958709716797;0.550958709716797
2017-01-01 08:00:00;7.03;7.83;0.0;1014.05;20.21;97.6;7.383;7.396;8.403;9.361;9.186;9.178;8.454;8.735;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.6;99.54;98.83;96.33;93.62;92.98;94.65;1013.67;1013.39;1013.34;1013.07;1012.92;1013.04;1013.34;20.49;20.98;21.54;22.97;23.67;25.5;25.73;7.3;7.51;7.63;7.81;7.83;7.27;6.91;7.761391639709473;0.37839163970947265;0.37839163970947265
2017-01-01 09:00:00;6.9;7.383;0.0;1014.79;20.17;98.42;7.1;7.83;7.396;8.403;9.361;9.186;9.178;8.454;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.6;98.6;99.54;98.83;96.33;93.62;92.98;1014.05;1013.67;1013.39;1013.34;1013.07;1012.92;1013.04;20.21;20.49;20.98;21.54;22.97;23.67;25.5;7.03;7.3;7.51;7.63;7.81;7.83;7.27;6.963715076446533;-0.13628492355346644;0.13628492355346644
2017-01-01 10:00:00;6.4;7.1;0.0;1015.33;25.67;97.18;6.602;7.383;7.83;7.396;8.403;9.361;9.186;9.178;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.42;97.6;98.6;99.54;98.83;96.33;93.62;1014.79;1014.05;1013.67;1013.39;1013.34;1013.07;1012.92;20.17;20.21;20.49;20.98;21.54;22.97;23.67;6.9;7.03;7.3;7.51;7.63;7.81;7.83;6.725293159484863;0.12329315948486297;0.12329315948486297
2017-01-01 11:00:00;6.77;6.602;0.0;1015.49;25.87;95.62;6.435;7.1;7.383;7.83;7.396;8.403;9.361;9.186;0.0;0.0;0.0;0.0;0.0;0.0;0.0;97.18;98.42;97.6;98.6;99.54;98.83;96.33;1015.33;1014.79;1014.05;1013.67;1013.39;1013.34;1013.07;25.67;20.17;20.21;20.49;20.98;21.54;22.97;6.4;6.9;7.03;7.3;7.51;7.63;7.81;6.0894455909729;-0.3455544090270992;0.3455544090270992
2017-01-01 12:00:00;6.35;6.435;0.0;1015.38;26.52;92.58;5.556;6.602;7.1;7.383;7.83;7.396;8.403;9.361;0.0;0.0;0.0;0.0;0.0;0.0;0.0;95.62;97.18;98.42;97.6;98.6;99.54;98.83;1015.49;1015.33;1014.79;1014.05;1013.67;1013.39;1013.34;25.87;25.67;20.17;20.21;20.49;20.98;21.54;6.77;6.4;6.9;7.03;7.3;7.51;7.63;6.042696475982666;0.48669647598266597;0.48669647598266597
2017-01-01 13:00:00;5.51;5.556;0.0;1015.28;26.69;90.71;5.448;6.435;6.602;7.1;7.383;7.83;7.396;8.403;0.0;0.0;0.0;0.0;0.0;0.0;0.0;92.58;95.62;97.18;98.42;97.6;98.6;99.54;1015.38;1015.49;1015.33;1014.79;1014.05;1013.67;1013.39;26.52;25.87;25.67;20.17;20.21;20.49;20.98;6.35;6.77;6.4;6.9;7.03;7.3;7.51;5.522788047790527;0.07478804779052695;0.07478804779052695
2017-01-01 14:00:00;4.26;5.448;0.0;1014.47;26.94;88.45;4.098;5.556;6.435;6.602;7.1;7.383;7.83;7.396;0.0;0.0;0.0;0.0;0.0;0.0;0.0;90.71;92.58;95.62;97.18;98.42;97.6;98.6;1015.28;1015.38;1015.49;1015.33;1014.79;1014.05;1013.67;26.69;26.52;25.87;25.67;20.17;20.21;20.49;5.51;6.35;6.77;6.4;6.9;7.03;7.3;5.429787635803223;1.3317876358032228;1.3317876358032228
2017-01-01 15:00:00;3.05;4.098;0.0;1013.7;32.58;86.46;3.74;5.448;5.556;6.435;6.602;7.1;7.383;7.83;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88.45;90.71;92.58;95.62;97.18;98.42;97.6;1014.47;1015.28;1015.38;1015.49;1015.33;1014.79;1014.05;26.94;26.69;26.52;25.87;25.67;20.17;20.21;4.26;5.51;6.35;6.77;6.4;6.9;7.03;4.172056198120117;0.432056198120117;0.432056198120117
2017-01-01 16:00:00;2.61;3.74;0.0;1013.12;33.06;88.98;3.598;4.098;5.448;5.556;6.435;6.602;7.1;7.383;0.0;0.0;0.0;0.0;0.0;0.0;0.0;86.46;88.45;90.71;92.58;95.62;97.18;98.42;1013.7;1014.47;1015.28;1015.38;1015.49;1015.33;1014.79;32.58;26.94;26.69;26.52;25.87;25.67;20.17;3.05;4.26;5.51;6.35;6.77;6.4;6.9;4.288415431976318;0.6904154319763185;0.6904154319763185
2017-01-01 17:00:00;2.41;3.598;0.0;1012.13;33.22;83.32;5.537;3.74;4.098;5.448;5.556;6.435;6.602;7.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;88.98;86.46;88.45;90.71;92.58;95.62;97.18;1013.12;1013.7;1014.47;1015.28;1015.38;1015.49;1015.33;33.06;32.58;26.94;26.69;26.52;25.87;25.67;2.61;3.05;4.26;5.51;6.35;6.77;6.4;4.365032196044922;-1.171967803955078;1.171967803955078
2017-01-01 18:00:00;2.42;5.537;0.0;1011.34;33.1;83.82;6.072;3.598;3.74;4.098;5.448;5.556;6.435;6.602;0.0;0.0;0.0;0.0;0.0;0.0;0.0;83.32;88.98;86.46;88.45;90.71;92.58;95.62;1012.13;1013.12;1013.7;1014.47;1015.28;1015.38;1015.49;33.22;33.06;32.58;26.94;26.69;26.52;25.87;2.41;2.61;3.05;4.26;5.51;6.35;6.77;6.574434280395508;0.5024342803955077;0.5024342803955077
2017-01-01 19:00:00;2.27;6.072;0.0;1011.18;33.3;84.95;5.703;5.537;3.598;3.74;4.098;5.448;5.556;6.435;0.0;0.0;0.0;0.0;0.0;0.0;0.0;83.82;83.32;88.98;86.46;88.45;90.71;92.58;1011.34;1012.13;1013.12;1013.7;1014.47;1015.28;1015.38;33.1;33.22;33.06;32.58;26.94;26.69;26.52;2.42;2.41;2.61;3.05;4.26;5.51;6.35;6.639856815338135;0.9368568153381345;0.9368568153381345
2017-01-01 20:00:00;2.29;5.703;0.0;1011.27;33.15;89.31;6.79;6.072;5.537;3.598;3.74;4.098;5.448;5.556;0.0;0.0;0.0;0.0;0.0;0.0;0.0;84.95;83.82;83.32;88.98;86.46;88.45;90.71;1011.18;1011.34;1012.13;1013.12;1013.7;1014.47;1015.28;33.3;33.1;33.22;33.06;32.58;26.94;26.69;2.27;2.42;2.41;2.61;3.05;4.26;5.51;6.344648838043213;-0.44535116195678714;0.44535116195678714
