;Longitude;Latitude;Data;Magnitude_Verif
0;-42.75;-14.25;2017-01-01 00:00:00;9.82
1;-42.75;-14.25;2017-01-01 01:00:00;8.74
2;-42.75;-14.25;2017-01-01 02:00:00;8.45
3;-42.75;-14.25;2017-01-01 03:00:00;9.18
4;-42.75;-14.25;2017-01-01 04:00:00;9.19
5;-42.75;-14.25;2017-01-01 05:00:00;9.36
6;-42.75;-14.25;2017-01-01 06:00:00;8.4
7;-42.75;-14.25;2017-01-01 07:00:00;7.4
8;-42.75;-14.25;2017-01-01 08:00:00;7.83
9;-42.75;-14.25;2017-01-01 09:00:00;7.38
10;-42.75;-14.25;2017-01-01 10:00:00;7.1
11;-42.75;-14.25;2017-01-01 11:00:00;6.6
12;-42.75;-14.25;2017-01-01 12:00:00;6.44
13;-42.75;-14.25;2017-01-01 13:00:00;5.56
14;-42.75;-14.25;2017-01-01 14:00:00;5.45
15;-42.75;-14.25;2017-01-01 15:00:00;4.1
16;-42.75;-14.25;2017-01-01 16:00:00;3.74
17;-42.75;-14.25;2017-01-01 17:00:00;3.6
18;-42.75;-14.25;2017-01-01 18:00:00;5.54
19;-42.75;-14.25;2017-01-01 19:00:00;6.07
20;-42.75;-14.25;2017-01-01 20:00:00;5.7
21;-42.75;-14.25;2017-01-01 21:00:00;6.79
22;-42.75;-14.25;2017-01-01 22:00:00;7.78
23;-42.75;-14.25;2017-01-01 23:00:00;8.66
24;-42.75;-14.25;2017-01-02 00:00:00;7.84
25;-42.75;-14.25;2017-01-02 01:00:00;7.73
26;-42.75;-14.25;2017-01-02 02:00:00;7.41
27;-42.75;-14.25;2017-01-02 03:00:00;6.97
28;-42.75;-14.25;2017-01-02 04:00:00;7.18
29;-42.75;-14.25;2017-01-02 05:00:00;6.78
30;-42.75;-14.25;2017-01-02 06:00:00;5.89
31;-42.75;-14.25;2017-01-02 07:00:00;5.66
32;-42.75;-14.25;2017-01-02 08:00:00;4.96
33;-42.75;-14.25;2017-01-02 09:00:00;5.16
34;-42.75;-14.25;2017-01-02 10:00:00;4.95
35;-42.75;-14.25;2017-01-02 11:00:00;4.93
36;-42.75;-14.25;2017-01-02 12:00:00;4.73
37;-42.75;-14.25;2017-01-02 13:00:00;4.46
38;-42.75;-14.25;2017-01-02 14:00:00;4.45
39;-42.75;-14.25;2017-01-02 15:00:00;3.89
40;-42.75;-14.25;2017-01-02 16:00:00;2.92
41;-42.75;-14.25;2017-01-02 17:00:00;2.77
42;-42.75;-14.25;2017-01-02 18:00:00;2.04
43;-42.75;-14.25;2017-01-02 19:00:00;2.14
44;-42.75;-14.25;2017-01-02 20:00:00;4.08
45;-42.75;-14.25;2017-01-02 21:00:00;4.45
46;-42.75;-14.25;2017-01-02 22:00:00;4.81
47;-42.75;-14.25;2017-01-02 23:00:00;6.78
48;-42.75;-14.25;2017-01-03 00:00:00;6.09
49;-42.75;-14.25;2017-01-03 01:00:00;6.36
50;-42.75;-14.25;2017-01-03 02:00:00;5.5
51;-42.75;-14.25;2017-01-03 03:00:00;5.85
52;-42.75;-14.25;2017-01-03 04:00:00;5.7
53;-42.75;-14.25;2017-01-03 05:00:00;4.65
54;-42.75;-14.25;2017-01-03 06:00:00;4.78
55;-42.75;-14.25;2017-01-03 07:00:00;4.17
56;-42.75;-14.25;2017-01-03 08:00:00;3.86
57;-42.75;-14.25;2017-01-03 09:00:00;4.39
58;-42.75;-14.25;2017-01-03 10:00:00;4.12
59;-42.75;-14.25;2017-01-03 11:00:00;4.62
60;-42.75;-14.25;2017-01-03 12:00:00;4.4
61;-42.75;-14.25;2017-01-03 13:00:00;4.5
62;-42.75;-14.25;2017-01-03 14:00:00;4.1
63;-42.75;-14.25;2017-01-03 15:00:00;4.43
64;-42.75;-14.25;2017-01-03 16:00:00;5.94
65;-42.75;-14.25;2017-01-03 17:00:00;6.26
66;-42.75;-14.25;2017-01-03 18:00:00;9.34
67;-42.75;-14.25;2017-01-03 19:00:00;9.23
68;-42.75;-14.25;2017-01-03 20:00:00;8.13
69;-42.75;-14.25;2017-01-03 21:00:00;10.27
70;-42.75;-14.25;2017-01-03 22:00:00;12.43
71;-42.75;-14.25;2017-01-03 23:00:00;11.33
72;-42.75;-14.25;2017-01-04 00:00:00;11.4
