;Longitude;Latitude;Valor_Pressao;Data
0;-42.75;-14.25;1013.14;2017-01-01 00:00:00
1;-42.75;-14.25;1013.34;2017-01-01 01:00:00
2;-42.75;-14.25;1013.04;2017-01-01 02:00:00
3;-42.75;-14.25;1012.92;2017-01-01 03:00:00
4;-42.75;-14.25;1013.07;2017-01-01 04:00:00
5;-42.75;-14.25;1013.34;2017-01-01 05:00:00
6;-42.75;-14.25;1013.39;2017-01-01 06:00:00
7;-42.75;-14.25;1013.67;2017-01-01 07:00:00
8;-42.75;-14.25;1014.05;2017-01-01 08:00:00
9;-42.75;-14.25;1014.79;2017-01-01 09:00:00
10;-42.75;-14.25;1015.33;2017-01-01 10:00:00
11;-42.75;-14.25;1015.49;2017-01-01 11:00:00
12;-42.75;-14.25;1015.38;2017-01-01 12:00:00
13;-42.75;-14.25;1015.28;2017-01-01 13:00:00
14;-42.75;-14.25;1014.47;2017-01-01 14:00:00
15;-42.75;-14.25;1013.7;2017-01-01 15:00:00
16;-42.75;-14.25;1013.12;2017-01-01 16:00:00
17;-42.75;-14.25;1012.13;2017-01-01 17:00:00
18;-42.75;-14.25;1011.34;2017-01-01 18:00:00
19;-42.75;-14.25;1011.18;2017-01-01 19:00:00
20;-42.75;-14.25;1011.27;2017-01-01 20:00:00
21;-42.75;-14.25;1011.54;2017-01-01 21:00:00
22;-42.75;-14.25;1011.89;2017-01-01 22:00:00
23;-42.75;-14.25;1012.1;2017-01-01 23:00:00
24;-42.75;-14.25;1012.57;2017-01-02 00:00:00
25;-42.75;-14.25;1012.61;2017-01-02 01:00:00
26;-42.75;-14.25;1012.31;2017-01-02 02:00:00
27;-42.75;-14.25;1012.14;2017-01-02 03:00:00
28;-42.75;-14.25;1012.11;2017-01-02 04:00:00
29;-42.75;-14.25;1011.81;2017-01-02 05:00:00
30;-42.75;-14.25;1011.84;2017-01-02 06:00:00
31;-42.75;-14.25;1012.48;2017-01-02 07:00:00
32;-42.75;-14.25;1012.63;2017-01-02 08:00:00
33;-42.75;-14.25;1013.38;2017-01-02 09:00:00
34;-42.75;-14.25;1013.83;2017-01-02 10:00:00
35;-42.75;-14.25;1013.54;2017-01-02 11:00:00
36;-42.75;-14.25;1013.22;2017-01-02 12:00:00
37;-42.75;-14.25;1013.05;2017-01-02 13:00:00
38;-42.75;-14.25;1012.38;2017-01-02 14:00:00
39;-42.75;-14.25;1011.49;2017-01-02 15:00:00
40;-42.75;-14.25;1010.61;2017-01-02 16:00:00
41;-42.75;-14.25;1009.5;2017-01-02 17:00:00
42;-42.75;-14.25;1008.97;2017-01-02 18:00:00
43;-42.75;-14.25;1008.62;2017-01-02 19:00:00
44;-42.75;-14.25;1008.73;2017-01-02 20:00:00
45;-42.75;-14.25;1008.39;2017-01-02 21:00:00
46;-42.75;-14.25;1008.39;2017-01-02 22:00:00
47;-42.75;-14.25;1008.81;2017-01-02 23:00:00
48;-42.75;-14.25;1009.15;2017-01-03 00:00:00
49;-42.75;-14.25;1009.55;2017-01-03 01:00:00
50;-42.75;-14.25;1009.91;2017-01-03 02:00:00
51;-42.75;-14.25;1010.31;2017-01-03 03:00:00
52;-42.75;-14.25;1010.09;2017-01-03 04:00:00
53;-42.75;-14.25;1010.13;2017-01-03 05:00:00
54;-42.75;-14.25;1010.11;2017-01-03 06:00:00
55;-42.75;-14.25;1010.58;2017-01-03 07:00:00
56;-42.75;-14.25;1011.18;2017-01-03 08:00:00
57;-42.75;-14.25;1011.71;2017-01-03 09:00:00
58;-42.75;-14.25;1012.61;2017-01-03 10:00:00
59;-42.75;-14.25;1012.71;2017-01-03 11:00:00
60;-42.75;-14.25;1012.78;2017-01-03 12:00:00
61;-42.75;-14.25;1012.36;2017-01-03 13:00:00
62;-42.75;-14.25;1011.8;2017-01-03 14:00:00
63;-42.75;-14.25;1011.04;2017-01-03 15:00:00
64;-42.75;-14.25;1010.02;2017-01-03 16:00:00
65;-42.75;-14.25;1009.35;2017-01-03 17:00:00
66;-42.75;-14.25;1008.5;2017-01-03 18:00:00
67;-42.75;-14.25;1007.8;2017-01-03 19:00:00
68;-42.75;-14.25;1007.76;2017-01-03 20:00:00
69;-42.75;-14.25;1007.97;2017-01-03 21:00:00
70;-42.75;-14.25;1008.79;2017-01-03 22:00:00
71;-42.75;-14.25;1008.91;2017-01-03 23:00:00
72;-42.75;-14.25;1009.65;2017-01-04 00:00:00
73;-42.75;-14.25;1009.97;2017-01-04 01:00:00
74;-42.75;-14.25;1010.75;2017-01-04 02:00:00
75;-42.75;-14.25;1011.38;2017-01-04 03:00:00
76;-42.75;-14.25;1011.42;2017-01-04 04:00:00
77;-42.75;-14.25;1011.72;2017-01-04 05:00:00
78;-42.75;-14.25;1011.56;2017-01-04 06:00:00
79;-42.75;-14.25;1012.15;2017-01-04 07:00:00
80;-42.75;-14.25;1012.17;2017-01-04 08:00:00
81;-42.75;-14.25;1013.39;2017-01-04 09:00:00
82;-42.75;-14.25;1014.64;2017-01-04 10:00:00
83;-42.75;-14.25;1014.7;2017-01-04 11:00:00
84;-42.75;-14.25;1014.86;2017-01-04 12:00:00
85;-42.75;-14.25;1014.85;2017-01-04 13:00:00
86;-42.75;-14.25;1014.25;2017-01-04 14:00:00
87;-42.75;-14.25;1013.94;2017-01-04 15:00:00
88;-42.75;-14.25;1012.92;2017-01-04 16:00:00
89;-42.75;-14.25;1011.94;2017-01-04 17:00:00
90;-42.75;-14.25;1011.19;2017-01-04 18:00:00
91;-42.75;-14.25;1010.84;2017-01-04 19:00:00
