;Longitude;Latitude;Magnitude_Observada;Direcao;Data
0;-42.75;-14.25;6.82;97.36;2017-01-01 00:00:00
1;-42.75;-14.25;6.91;94.65;2017-01-01 01:00:00
2;-42.75;-14.25;7.27;92.98;2017-01-01 02:00:00
3;-42.75;-14.25;7.83;93.62;2017-01-01 03:00:00
4;-42.75;-14.25;7.81;96.33;2017-01-01 04:00:00
5;-42.75;-14.25;7.63;98.83;2017-01-01 05:00:00
6;-42.75;-14.25;7.51;99.54;2017-01-01 06:00:00
7;-42.75;-14.25;7.3;98.6;2017-01-01 07:00:00
8;-42.75;-14.25;7.03;97.6;2017-01-01 08:00:00
9;-42.75;-14.25;6.9;98.42;2017-01-01 09:00:00
10;-42.75;-14.25;6.4;97.18;2017-01-01 10:00:00
11;-42.75;-14.25;6.77;95.62;2017-01-01 11:00:00
12;-42.75;-14.25;6.35;92.58;2017-01-01 12:00:00
13;-42.75;-14.25;5.51;90.71;2017-01-01 13:00:00
14;-42.75;-14.25;4.26;88.45;2017-01-01 14:00:00
15;-42.75;-14.25;3.05;86.46;2017-01-01 15:00:00
16;-42.75;-14.25;2.61;88.98;2017-01-01 16:00:00
17;-42.75;-14.25;2.41;83.32;2017-01-01 17:00:00
18;-42.75;-14.25;2.42;83.82;2017-01-01 18:00:00
19;-42.75;-14.25;2.27;84.95;2017-01-01 19:00:00
20;-42.75;-14.25;2.29;89.31;2017-01-01 20:00:00
21;-42.75;-14.25;2.73;89.18;2017-01-01 21:00:00
22;-42.75;-14.25;3.3;82.28;2017-01-01 22:00:00
23;-42.75;-14.25;3.53;81.54;2017-01-01 23:00:00
24;-42.75;-14.25;3.33;82.48;2017-01-02 00:00:00
25;-42.75;-14.25;3.42;87.59;2017-01-02 01:00:00
26;-42.75;-14.25;3.78;88.62;2017-01-02 02:00:00
27;-42.75;-14.25;5.24;85.86;2017-01-02 03:00:00
28;-42.75;-14.25;6.9;88.73;2017-01-02 04:00:00
29;-42.75;-14.25;6.2;91.22;2017-01-02 05:00:00
30;-42.75;-14.25;5.38;95.71;2017-01-02 06:00:00
31;-42.75;-14.25;5.12;99.52;2017-01-02 07:00:00
32;-42.75;-14.25;5.06;102.48;2017-01-02 08:00:00
33;-42.75;-14.25;5.05;103.69;2017-01-02 09:00:00
34;-42.75;-14.25;4.57;105.04;2017-01-02 10:00:00
35;-42.75;-14.25;4.3;99.64;2017-01-02 11:00:00
36;-42.75;-14.25;3.91;94.97;2017-01-02 12:00:00
37;-42.75;-14.25;3.3;92.19;2017-01-02 13:00:00
38;-42.75;-14.25;2.22;106.89;2017-01-02 14:00:00
39;-42.75;-14.25;2.11;117.78;2017-01-02 15:00:00
40;-42.75;-14.25;1.88;120.54;2017-01-02 16:00:00
41;-42.75;-14.25;1.84;124.83;2017-01-02 17:00:00
42;-42.75;-14.25;1.91;130.08;2017-01-02 18:00:00
43;-42.75;-14.25;2.0;131.42;2017-01-02 19:00:00
44;-42.75;-14.25;2.1;131.55;2017-01-02 20:00:00
45;-42.75;-14.25;2.5;131.78;2017-01-02 21:00:00
46;-42.75;-14.25;3.29;138.59;2017-01-02 22:00:00
47;-42.75;-14.25;3.32;130.1;2017-01-02 23:00:00
48;-42.75;-14.25;3.06;111.88;2017-01-03 00:00:00
49;-42.75;-14.25;3.22;81.61;2017-01-03 01:00:00
50;-42.75;-14.25;4.05;67.2;2017-01-03 02:00:00
51;-42.75;-14.25;5.06;78.16;2017-01-03 03:00:00
52;-42.75;-14.25;6.23;90.75;2017-01-03 04:00:00
53;-42.75;-14.25;6.16;93.67;2017-01-03 05:00:00
54;-42.75;-14.25;5.31;96.13;2017-01-03 06:00:00
