;Longitude;Latitude;Data;Direcao_Verif
0;-42.75;-14.25;2017-01-01 00:00:00;119.717
1;-42.75;-14.25;2017-01-01 01:00:00;119.19999999999999
2;-42.75;-14.25;2017-01-01 02:00:00;120.98349999999999
3;-42.75;-14.25;2017-01-01 03:00:00;119.717
4;-42.75;-14.25;2017-01-01 04:00:00;116.717
5;-42.75;-14.25;2017-01-01 05:00:00;117.15
6;-42.75;-14.25;2017-01-01 06:00:00;117.8665
7;-42.75;-14.25;2017-01-01 07:00:00;116.68299999999999
8;-42.75;-14.25;2017-01-01 08:00:00;115.51650000000001
9;-42.75;-14.25;2017-01-01 09:00:00;112.15
10;-42.75;-14.25;2017-01-01 10:00:00;115.05
11;-42.75;-14.25;2017-01-01 11:00:00;111.31649999999999
12;-42.75;-14.25;2017-01-01 12:00:00;106.983
13;-42.75;-14.25;2017-01-01 13:00:00;114.5
14;-42.75;-14.25;2017-01-01 14:00:00;103.25
15;-42.75;-14.25;2017-01-01 15:00:00;101.18350000000001
16;-42.75;-14.25;2017-01-01 16:00:00;111.98349999999999
17;-42.75;-14.25;2017-01-01 17:00:00;115.73349999999999
18;-42.75;-14.25;2017-01-01 18:00:00;107.01650000000001
19;-42.75;-14.25;2017-01-01 19:00:00;115.19999999999999
20;-42.75;-14.25;2017-01-01 20:00:00;112.01650000000001
21;-42.75;-14.25;2017-01-01 21:00:00;99.85
22;-42.75;-14.25;2017-01-01 22:00:00;107.95
23;-42.75;-14.25;2017-01-01 23:00:00;105.73349999999999
24;-42.75;-14.25;2017-01-02 00:00:00;117.0
25;-42.75;-14.25;2017-01-02 01:00:00;106.69999999999999
26;-42.75;-14.25;2017-01-02 02:00:00;115.93350000000001
27;-42.75;-14.25;2017-01-02 03:00:00;113.9
28;-42.75;-14.25;2017-01-02 04:00:00;116.81700000000001
29;-42.75;-14.25;2017-01-02 05:00:00;114.6
30;-42.75;-14.25;2017-01-02 06:00:00;109.3665
31;-42.75;-14.25;2017-01-02 07:00:00;118.05
32;-42.75;-14.25;2017-01-02 08:00:00;111.0835
33;-42.75;-14.25;2017-01-02 09:00:00;110.1165
34;-42.75;-14.25;2017-01-02 10:00:00;105.01650000000001
35;-42.75;-14.25;2017-01-02 11:00:00;115.2165
36;-42.75;-14.25;2017-01-02 12:00:00;122.68350000000001
37;-42.75;-14.25;2017-01-02 13:00:00;130.7165
38;-42.75;-14.25;2017-01-02 14:00:00;130.267
39;-42.75;-14.25;2017-01-02 15:00:00;131.11700000000002
40;-42.75;-14.25;2017-01-02 16:00:00;126.35
41;-42.75;-14.25;2017-01-02 17:00:00;122.95
42;-42.75;-14.25;2017-01-02 18:00:00;105.0835
43;-42.75;-14.25;2017-01-02 19:00:00;108.367
44;-42.75;-14.25;2017-01-02 20:00:00;106.217
45;-42.75;-14.25;2017-01-02 21:00:00;88.18350000000001
46;-42.75;-14.25;2017-01-02 22:00:00;90.15
47;-42.75;-14.25;2017-01-02 23:00:00;102.80000000000001
48;-42.75;-14.25;2017-01-03 00:00:00;103.4165
49;-42.75;-14.25;2017-01-03 01:00:00;102.98349999999999
50;-42.75;-14.25;2017-01-03 02:00:00;111.433
51;-42.75;-14.25;2017-01-03 03:00:00;120.55000000000001
52;-42.75;-14.25;2017-01-03 04:00:00;111.75
53;-42.75;-14.25;2017-01-03 05:00:00;89.2165
54;-42.75;-14.25;2017-01-03 06:00:00;86.0
55;-42.75;-14.25;2017-01-03 07:00:00;100.0
56;-42.75;-14.25;2017-01-03 08:00:00;102.1835
57;-42.75;-14.25;2017-01-03 09:00:00;114.6165
58;-42.75;-14.25;2017-01-03 10:00:00;116.75
59;-42.75;-14.25;2017-01-03 11:00:00;125.5
60;-42.75;-14.25;2017-01-03 12:00:00;135.0165
61;-42.75;-14.25;2017-01-03 13:00:00;114.1
62;-42.75;-14.25;2017-01-03 14:00:00;125.05000000000001
63;-42.75;-14.25;2017-01-03 15:00:00;132.317
64;-42.75;-14.25;2017-01-03 16:00:00;121.3835
65;-42.75;-14.25;2017-01-03 17:00:00;116.3165
66;-42.75;-14.25;2017-01-03 18:00:00;103.6165
67;-42.75;-14.25;2017-01-03 19:00:00;98.567
68;-42.75;-14.25;2017-01-03 20:00:00;87.51650000000001
69;-42.75;-14.25;2017-01-03 21:00:00;100.81649999999999
70;-42.75;-14.25;2017-01-03 22:00:00;100.967
71;-42.75;-14.25;2017-01-03 23:00:00;100.717
72;-42.75;-14.25;2017-01-04 00:00:00;99.6665
73;-42.75;-14.25;2017-01-04 01:00:00;109.38300000000001
74;-42.75;-14.25;2017-01-04 02:00:00;112.217
75;-42.75;-14.25;2017-01-04 03:00:00;115.6665
76;-42.75;-14.25;2017-01-04 04:00:00;117.0335
77;-42.75;-14.25;2017-01-04 05:00:00;118.0335
78;-42.75;-14.25;2017-01-04 06:00:00;119.117
79;-42.75;-14.25;2017-01-04 07:00:00;104.217
80;-42.75;-14.25;2017-01-04 08:00:00;102.1
81;-42.75;-14.25;2017-01-04 09:00:00;105.8165
82;-42.75;-14.25;2017-01-04 10:00:00;113.233
83;-42.75;-14.25;2017-01-04 11:00:00;116.2
84;-42.75;-14.25;2017-01-04 12:00:00;132.05
85;-42.75;-14.25;2017-01-04 13:00:00;131.36700000000002
86;-42.75;-14.25;2017-01-04 14:00:00;122.6
87;-42.75;-14.25;2017-01-04 15:00:00;121.44999999999999
88;-42.75;-14.25;2017-01-04 16:00:00;125.917
89;-42.75;-14.25;2017-01-04 17:00:00;115.283
90;-42.75;-14.25;2017-01-04 18:00:00;106.95
91;-42.75;-14.25;2017-01-04 19:00:00;105.11699999999999
92;-42.75;-14.25;2017-01-04 20:00:00;104.16650000000001
93;-42.75;-14.25;2017-01-04 21:00:00;93.917
94;-42.75;-14.25;2017-01-04 22:00:00;89.63300000000001
95;-42.75;-14.25;2017-01-04 23:00:00;94.0
96;-42.75;-14.25;2017-01-05 00:00:00;103.6335
97;-42.75;-14.25;2017-01-05 01:00:00;110.233
98;-42.75;-14.25;2017-01-05 02:00:00;111.983
99;-42.75;-14.25;2017-01-05 03:00:00;109.5
100;-42.75;-14.25;2017-01-05 04:00:00;111.033
101;-42.75;-14.25;2017-01-05 05:00:00;118.5335
102;-42.75;-14.25;2017-01-05 06:00:00;117.333
103;-42.75;-14.25;2017-01-05 07:00:00;108.43350000000001
104;-42.75;-14.25;2017-01-05 08:00:00;97.5
105;-42.75;-14.25;2017-01-05 09:00:00;105.18350000000001
106;-42.75;-14.25;2017-01-05 10:00:00;100.967
107;-42.75;-14.25;2017-01-05 11:00:00;109.2835
108;-42.75;-14.25;2017-01-05 12:00:00;110.13300000000001
109;-42.75;-14.25;2017-01-05 13:00:00;109.51650000000001
110;-42.75;-14.25;2017-01-05 14:00:00;124.85
111;-42.75;-14.25;2017-01-05 15:00:00;95.2835
112;-42.75;-14.25;2017-01-05 16:00:00;83.7835
113;-42.75;-14.25;2017-01-05 17:00:00;109.267
114;-42.75;-14.25;2017-01-05 18:00:00;104.6165
115;-42.75;-14.25;2017-01-05 19:00:00;98.8335
116;-42.75;-14.25;2017-01-05 20:00:00;93.05
117;-42.75;-14.25;2017-01-05 21:00:00;96.4165
118;-42.75;-14.25;2017-01-05 22:00:00;95.367
119;-42.75;-14.25;2017-01-05 23:00:00;94.4
120;-42.75;-14.25;2017-01-06 00:00:00;98.91650000000001
121;-42.75;-14.25;2017-01-06 01:00:00;116.44999999999999
122;-42.75;-14.25;2017-01-06 02:00:00;135.517
123;-42.75;-14.25;2017-01-06 03:00:00;135.75
124;-42.75;-14.25;2017-01-06 04:00:00;134.5
125;-42.75;-14.25;2017-01-06 05:00:00;125.8
126;-42.75;-14.25;2017-01-06 06:00:00;116.8835
127;-42.75;-14.25;2017-01-06 07:00:00;112.417
128;-42.75;-14.25;2017-01-06 08:00:00;105.45
129;-42.75;-14.25;2017-01-06 09:00:00;111.81649999999999
130;-42.75;-14.25;2017-01-06 10:00:00;113.4665
131;-42.75;-14.25;2017-01-06 11:00:00;120.017
132;-42.75;-14.25;2017-01-06 12:00:00;120.81649999999999
133;-42.75;-14.25;2017-01-06 13:00:00;114.9165
134;-42.75;-14.25;2017-01-06 14:00:00;119.717
135;-42.75;-14.25;2017-01-06 15:00:00;122.533
136;-42.75;-14.25;2017-01-06 16:00:00;118.4
137;-42.75;-14.25;2017-01-06 17:00:00;117.5835
138;-42.75;-14.25;2017-01-06 18:00:00;123.1
139;-42.75;-14.25;2017-01-06 19:00:00;90.1165
140;-42.75;-14.25;2017-01-06 20:00:00;99.4665
141;-42.75;-14.25;2017-01-06 21:00:00;116.533
142;-42.75;-14.25;2017-01-06 22:00:00;110.23349999999999
143;-42.75;-14.25;2017-01-06 23:00:00;120.3165
144;-42.75;-14.25;2017-01-07 00:00:00;122.30000000000001
145;-42.75;-14.25;2017-01-07 01:00:00;102.65
146;-42.75;-14.25;2017-01-07 02:00:00;89.217
147;-42.75;-14.25;2017-01-07 03:00:00;100.26650000000001
148;-42.75;-14.25;2017-01-07 04:00:00;104.6
149;-42.75;-14.25;2017-01-07 05:00:00;109.35
150;-42.75;-14.25;2017-01-07 06:00:00;104.73349999999999
151;-42.75;-14.25;2017-01-07 07:00:00;102.26650000000001
152;-42.75;-14.25;2017-01-07 08:00:00;95.9165
153;-42.75;-14.25;2017-01-07 09:00:00;103.55000000000001
154;-42.75;-14.25;2017-01-07 10:00:00;102.3835
155;-42.75;-14.25;2017-01-07 11:00:00;95.31649999999999
156;-42.75;-14.25;2017-01-07 12:00:00;108.65
157;-42.75;-14.25;2017-01-07 13:00:00;111.267
158;-42.75;-14.25;2017-01-07 14:00:00;117.65
159;-42.75;-14.25;2017-01-07 15:00:00;115.3665
160;-42.75;-14.25;2017-01-07 16:00:00;111.25
161;-42.75;-14.25;2017-01-07 17:00:00;113.5
162;-42.75;-14.25;2017-01-07 18:00:00;104.18299999999999
163;-42.75;-14.25;2017-01-07 19:00:00;98.4335
164;-42.75;-14.25;2017-01-07 20:00:00;86.3165
165;-42.75;-14.25;2017-01-07 21:00:00;83.217
166;-42.75;-14.25;2017-01-07 22:00:00;81.1
167;-42.75;-14.25;2017-01-07 23:00:00;79.067
168;-42.75;-14.25;2017-01-08 00:00:00;89.4665
169;-42.75;-14.25;2017-01-08 01:00:00;99.517
170;-42.75;-14.25;2017-01-08 02:00:00;112.2835
171;-42.75;-14.25;2017-01-08 03:00:00;114.98349999999999
172;-42.75;-14.25;2017-01-08 04:00:00;116.23349999999999
173;-42.75;-14.25;2017-01-08 05:00:00;114.767
174;-42.75;-14.25;2017-01-08 06:00:00;112.26650000000001
175;-42.75;-14.25;2017-01-08 07:00:00;102.4165
176;-42.75;-14.25;2017-01-08 08:00:00;103.3835
177;-42.75;-14.25;2017-01-08 09:00:00;97.1665
178;-42.75;-14.25;2017-01-08 10:00:00;99.26650000000001
179;-42.75;-14.25;2017-01-08 11:00:00;106.65
180;-42.75;-14.25;2017-01-08 12:00:00;101.98349999999999
181;-42.75;-14.25;2017-01-08 13:00:00;89.667
182;-42.75;-14.25;2017-01-08 14:00:00;100.1335
183;-42.75;-14.25;2017-01-08 15:00:00;104.9165
184;-42.75;-14.25;2017-01-08 16:00:00;100.3165
185;-42.75;-14.25;2017-01-08 17:00:00;92.30000000000001
186;-42.75;-14.25;2017-01-08 18:00:00;84.6665
187;-42.75;-14.25;2017-01-08 19:00:00;80.94999999999999
188;-42.75;-14.25;2017-01-08 20:00:00;90.3835
189;-42.75;-14.25;2017-01-08 21:00:00;78.4165
190;-42.75;-14.25;2017-01-08 22:00:00;81.7165
191;-42.75;-14.25;2017-01-08 23:00:00;108.30000000000001
192;-42.75;-14.25;2017-01-09 00:00:00;122.43299999999999
193;-42.75;-14.25;2017-01-09 01:00:00;118.8335
194;-42.75;-14.25;2017-01-09 02:00:00;116.6
195;-42.75;-14.25;2017-01-09 03:00:00;121.4
196;-42.75;-14.25;2017-01-09 04:00:00;123.35
197;-42.75;-14.25;2017-01-09 05:00:00;120.80000000000001
198;-42.75;-14.25;2017-01-09 06:00:00;121.06649999999999
199;-42.75;-14.25;2017-01-09 07:00:00;119.3835
200;-42.75;-14.25;2017-01-09 08:00:00;111.4
201;-42.75;-14.25;2017-01-09 09:00:00;113.85
202;-42.75;-14.25;2017-01-09 10:00:00;118.6165
203;-42.75;-14.25;2017-01-09 11:00:00;128.4
204;-42.75;-14.25;2017-01-09 12:00:00;129.6
205;-42.75;-14.25;2017-01-09 13:00:00;151.3
206;-42.75;-14.25;2017-01-09 14:00:00;177.7665
207;-42.75;-14.25;2017-01-09 15:00:00;140.983
208;-42.75;-14.25;2017-01-09 16:00:00;139.1
209;-42.75;-14.25;2017-01-09 17:00:00;109.73349999999999
210;-42.75;-14.25;2017-01-09 18:00:00;80.217
211;-42.75;-14.25;2017-01-09 19:00:00;93.217
212;-42.75;-14.25;2017-01-09 20:00:00;99.55
213;-42.75;-14.25;2017-01-09 21:00:00;115.98349999999999
214;-42.75;-14.25;2017-01-09 22:00:00;124.30000000000001
215;-42.75;-14.25;2017-01-09 23:00:00;143.3
216;-42.75;-14.25;2017-01-10 00:00:00;117.6165
217;-42.75;-14.25;2017-01-10 01:00:00;112.183
218;-42.75;-14.25;2017-01-10 02:00:00;115.75
219;-42.75;-14.25;2017-01-10 03:00:00;110.44999999999999
220;-42.75;-14.25;2017-01-10 04:00:00;109.23349999999999
221;-42.75;-14.25;2017-01-10 05:00:00;111.6
222;-42.75;-14.25;2017-01-10 06:00:00;116.0335
223;-42.75;-14.25;2017-01-10 07:00:00;109.75
224;-42.75;-14.25;2017-01-10 08:00:00;104.2
225;-42.75;-14.25;2017-01-10 09:00:00;105.0
226;-42.75;-14.25;2017-01-10 10:00:00;95.65
227;-42.75;-14.25;2017-01-10 11:00:00;106.05000000000001
228;-42.75;-14.25;2017-01-10 12:00:00;129.65
229;-42.75;-14.25;2017-01-10 13:00:00;147.333
230;-42.75;-14.25;2017-01-10 14:00:00;132.33350000000002
231;-42.75;-14.25;2017-01-10 15:00:00;156.08350000000002
232;-42.75;-14.25;2017-01-10 16:00:00;148.7
233;-42.75;-14.25;2017-01-10 17:00:00;122.0
234;-42.75;-14.25;2017-01-10 18:00:00;121.267
235;-42.75;-14.25;2017-01-10 19:00:00;89.61699999999999
236;-42.75;-14.25;2017-01-10 20:00:00;97.3335
237;-42.75;-14.25;2017-01-10 21:00:00;81.017
238;-42.75;-14.25;2017-01-10 22:00:00;100.69999999999999
239;-42.75;-14.25;2017-01-10 23:00:00;107.5335
240;-42.75;-14.25;2017-01-11 00:00:00;111.18350000000001
