;Longitude;Latitude;Data;Magnitude_Verif;pressao_Verif;Temperatura_Verif;Direcao_Verif
0;-42.75;-14.25;2017-01-01 00:00:00;9.82;884.46;19.54;119.717
1;-42.75;-14.25;2017-01-01 01:00:00;8.74;882.33;18.52;119.2
2;-42.75;-14.25;2017-01-01 02:00:00;8.45;882.0;17.63;120.9835
3;-42.75;-14.25;2017-01-01 03:00:00;9.18;882.0;16.92;119.717
4;-42.75;-14.25;2017-01-01 04:00:00;9.19;882.67;16.48;116.717
5;-42.75;-14.25;2017-01-01 05:00:00;9.36;883.0;15.98;117.15
6;-42.75;-14.25;2017-01-01 06:00:00;8.4;883.5;15.8;117.8665
7;-42.75;-14.25;2017-01-01 07:00:00;7.4;884.0;16.58;116.683
8;-42.75;-14.25;2017-01-01 08:00:00;7.83;885.0;17.93;115.5165
9;-42.75;-14.25;2017-01-01 09:00:00;7.38;885.0;19.05;112.15
10;-42.75;-14.25;2017-01-01 10:00:00;7.1;885.0;20.43;115.05
11;-42.75;-14.25;2017-01-01 11:00:00;6.6;885.0;21.75;111.3165
12;-42.75;-14.25;2017-01-01 12:00:00;6.44;884.83;23.08;106.983
13;-42.75;-14.25;2017-01-01 13:00:00;5.56;884.0;24.42;114.5
14;-42.75;-14.25;2017-01-01 14:00:00;5.45;883.5;25.3;103.25
15;-42.75;-14.25;2017-01-01 15:00:00;4.1;883.0;25.98;101.1835
16;-42.75;-14.25;2017-01-01 16:00:00;3.74;883.0;26.67;111.9835
17;-42.75;-14.25;2017-01-01 17:00:00;3.6;883.0;26.32;115.7335
18;-42.75;-14.25;2017-01-01 18:00:00;5.54;883.0;25.82;107.0165
19;-42.75;-14.25;2017-01-01 19:00:00;6.07;883.0;25.42;115.2
20;-42.75;-14.25;2017-01-01 20:00:00;5.7;883.0;25.72;112.0165
21;-42.75;-14.25;2017-01-01 21:00:00;6.79;884.0;25.72;99.85
22;-42.75;-14.25;2017-01-01 22:00:00;7.78;884.0;24.65;107.95
23;-42.75;-14.25;2017-01-01 23:00:00;8.66;883.17;21.97;105.7335
24;-42.75;-14.25;2017-01-02 00:00:00;7.84;882.83;20.98;117.0
25;-42.75;-14.25;2017-01-02 01:00:00;7.73;882.0;20.05;106.7
26;-42.75;-14.25;2017-01-02 02:00:00;7.41;882.0;18.8;115.9335
27;-42.75;-14.25;2017-01-02 03:00:00;6.97;881.5;18.12;113.9
28;-42.75;-14.25;2017-01-02 04:00:00;7.18;882.0;17.48;116.817
29;-42.75;-14.25;2017-01-02 05:00:00;6.78;881.83;17.18;114.6
