;Longitude;Latitude;Data;pressao_Verif
0;-42.75;-14.25;2017-01-01 00:00:00;884.46
1;-42.75;-14.25;2017-01-01 01:00:00;882.33
2;-42.75;-14.25;2017-01-01 02:00:00;882.0
3;-42.75;-14.25;2017-01-01 03:00:00;882.0
4;-42.75;-14.25;2017-01-01 04:00:00;882.67
5;-42.75;-14.25;2017-01-01 05:00:00;883.0
6;-42.75;-14.25;2017-01-01 06:00:00;883.5
7;-42.75;-14.25;2017-01-01 07:00:00;884.0
8;-42.75;-14.25;2017-01-01 08:00:00;885.0
9;-42.75;-14.25;2017-01-01 09:00:00;885.0
10;-42.75;-14.25;2017-01-01 10:00:00;885.0
11;-42.75;-14.25;2017-01-01 11:00:00;885.0
12;-42.75;-14.25;2017-01-01 12:00:00;884.83
13;-42.75;-14.25;2017-01-01 13:00:00;884.0
14;-42.75;-14.25;2017-01-01 14:00:00;883.5
15;-42.75;-14.25;2017-01-01 15:00:00;883.0
16;-42.75;-14.25;2017-01-01 16:00:00;883.0
17;-42.75;-14.25;2017-01-01 17:00:00;883.0
18;-42.75;-14.25;2017-01-01 18:00:00;883.0
19;-42.75;-14.25;2017-01-01 19:00:00;883.0
20;-42.75;-14.25;2017-01-01 20:00:00;883.0
21;-42.75;-14.25;2017-01-01 21:00:00;884.0
22;-42.75;-14.25;2017-01-01 22:00:00;884.0
23;-42.75;-14.25;2017-01-01 23:00:00;883.17
24;-42.75;-14.25;2017-01-02 00:00:00;882.83
25;-42.75;-14.25;2017-01-02 01:00:00;882.0
26;-42.75;-14.25;2017-01-02 02:00:00;882.0
27;-42.75;-14.25;2017-01-02 03:00:00;881.5
28;-42.75;-14.25;2017-01-02 04:00:00;882.0
29;-42.75;-14.25;2017-01-02 05:00:00;881.83
30;-42.75;-14.25;2017-01-02 06:00:00;882.0
31;-42.75;-14.25;2017-01-02 07:00:00;882.5
32;-42.75;-14.25;2017-01-02 08:00:00;883.0
33;-42.75;-14.25;2017-01-02 09:00:00;883.83
34;-42.75;-14.25;2017-01-02 10:00:00;884.0
35;-42.75;-14.25;2017-01-02 11:00:00;883.83
36;-42.75;-14.25;2017-01-02 12:00:00;883.0
37;-42.75;-14.25;2017-01-02 13:00:00;882.17
38;-42.75;-14.25;2017-01-02 14:00:00;882.0
39;-42.75;-14.25;2017-01-02 15:00:00;881.0
40;-42.75;-14.25;2017-01-02 16:00:00;881.0
41;-42.75;-14.25;2017-01-02 17:00:00;881.0
42;-42.75;-14.25;2017-01-02 18:00:00;881.0
43;-42.75;-14.25;2017-01-02 19:00:00;881.0
44;-42.75;-14.25;2017-01-02 20:00:00;881.0
45;-42.75;-14.25;2017-01-02 21:00:00;881.17
46;-42.75;-14.25;2017-01-02 22:00:00;881.33
47;-42.75;-14.25;2017-01-02 23:00:00;882.0
48;-42.75;-14.25;2017-01-03 00:00:00;881.5
49;-42.75;-14.25;2017-01-03 01:00:00;881.0
50;-42.75;-14.25;2017-01-03 02:00:00;881.0
51;-42.75;-14.25;2017-01-03 03:00:00;881.0
52;-42.75;-14.25;2017-01-03 04:00:00;881.0
53;-42.75;-14.25;2017-01-03 05:00:00;881.33
54;-42.75;-14.25;2017-01-03 06:00:00;882.0
55;-42.75;-14.25;2017-01-03 07:00:00;882.67
56;-42.75;-14.25;2017-01-03 08:00:00;883.0
57;-42.75;-14.25;2017-01-03 09:00:00;883.67
58;-42.75;-14.25;2017-01-03 10:00:00;884.0
59;-42.75;-14.25;2017-01-03 11:00:00;883.17
60;-42.75;-14.25;2017-01-03 12:00:00;883.0
61;-42.75;-14.25;2017-01-03 13:00:00;882.17
62;-42.75;-14.25;2017-01-03 14:00:00;881.83
63;-42.75;-14.25;2017-01-03 15:00:00;881.0
64;-42.75;-14.25;2017-01-03 16:00:00;880.83
65;-42.75;-14.25;2017-01-03 17:00:00;881.0
66;-42.75;-14.25;2017-01-03 18:00:00;880.17
67;-42.75;-14.25;2017-01-03 19:00:00;881.0
68;-42.75;-14.25;2017-01-03 20:00:00;881.0
69;-42.75;-14.25;2017-01-03 21:00:00;882.0
70;-42.75;-14.25;2017-01-03 22:00:00;882.0
71;-42.75;-14.25;2017-01-03 23:00:00;882.0
72;-42.75;-14.25;2017-01-04 00:00:00;882.0
73;-42.75;-14.25;2017-01-04 01:00:00;882.0
74;-42.75;-14.25;2017-01-04 02:00:00;882.0
75;-42.75;-14.25;2017-01-04 03:00:00;882.0
76;-42.75;-14.25;2017-01-04 04:00:00;882.0
77;-42.75;-14.25;2017-01-04 05:00:00;882.17
78;-42.75;-14.25;2017-01-04 06:00:00;883.0
79;-42.75;-14.25;2017-01-04 07:00:00;883.17
80;-42.75;-14.25;2017-01-04 08:00:00;884.0
81;-42.75;-14.25;2017-01-04 09:00:00;884.83
82;-42.75;-14.25;2017-01-04 10:00:00;885.0
83;-42.75;-14.25;2017-01-04 11:00:00;885.0
84;-42.75;-14.25;2017-01-04 12:00:00;884.83
85;-42.75;-14.25;2017-01-04 13:00:00;884.0
86;-42.75;-14.25;2017-01-04 14:00:00;883.83
87;-42.75;-14.25;2017-01-04 15:00:00;883.0
88;-42.75;-14.25;2017-01-04 16:00:00;883.0
89;-42.75;-14.25;2017-01-04 17:00:00;883.0
90;-42.75;-14.25;2017-01-04 18:00:00;882.67
91;-42.75;-14.25;2017-01-04 19:00:00;882.33
92;-42.75;-14.25;2017-01-04 20:00:00;883.0
93;-42.75;-14.25;2017-01-04 21:00:00;883.0
94;-42.75;-14.25;2017-01-04 22:00:00;884.0
95;-42.75;-14.25;2017-01-04 23:00:00;884.0
96;-42.75;-14.25;2017-01-05 00:00:00;883.0
97;-42.75;-14.25;2017-01-05 01:00:00;883.0
98;-42.75;-14.25;2017-01-05 02:00:00;883.0
99;-42.75;-14.25;2017-01-05 03:00:00;883.0
100;-42.75;-14.25;2017-01-05 04:00:00;883.0
101;-42.75;-14.25;2017-01-05 05:00:00;883.67
102;-42.75;-14.25;2017-01-05 06:00:00;884.0
103;-42.75;-14.25;2017-01-05 07:00:00;884.33
104;-42.75;-14.25;2017-01-05 08:00:00;885.0
105;-42.75;-14.25;2017-01-05 09:00:00;885.67
106;-42.75;-14.25;2017-01-05 10:00:00;886.0
107;-42.75;-14.25;2017-01-05 11:00:00;885.33
108;-42.75;-14.25;2017-01-05 12:00:00;885.0
109;-42.75;-14.25;2017-01-05 13:00:00;884.67
110;-42.75;-14.25;2017-01-05 14:00:00;884.0
111;-42.75;-14.25;2017-01-05 15:00:00;883.67
112;-42.75;-14.25;2017-01-05 16:00:00;883.0
113;-42.75;-14.25;2017-01-05 17:00:00;883.0
114;-42.75;-14.25;2017-01-05 18:00:00;883.0
115;-42.75;-14.25;2017-01-05 19:00:00;883.0
