;Longitude;Latitude;Data;Temperatura_Verif
0;-42.75;-14.25;2017-01-01 00:00:00;19.54
1;-42.75;-14.25;2017-01-01 01:00:00;18.52
2;-42.75;-14.25;2017-01-01 02:00:00;17.63
3;-42.75;-14.25;2017-01-01 03:00:00;16.92
4;-42.75;-14.25;2017-01-01 04:00:00;16.48
5;-42.75;-14.25;2017-01-01 05:00:00;15.98
6;-42.75;-14.25;2017-01-01 06:00:00;15.8
7;-42.75;-14.25;2017-01-01 07:00:00;16.58
8;-42.75;-14.25;2017-01-01 08:00:00;17.93
9;-42.75;-14.25;2017-01-01 09:00:00;19.05
10;-42.75;-14.25;2017-01-01 10:00:00;20.43
11;-42.75;-14.25;2017-01-01 11:00:00;21.75
12;-42.75;-14.25;2017-01-01 12:00:00;23.08
13;-42.75;-14.25;2017-01-01 13:00:00;24.42
14;-42.75;-14.25;2017-01-01 14:00:00;25.3
15;-42.75;-14.25;2017-01-01 15:00:00;25.98
16;-42.75;-14.25;2017-01-01 16:00:00;26.67
17;-42.75;-14.25;2017-01-01 17:00:00;26.32
18;-42.75;-14.25;2017-01-01 18:00:00;25.82
19;-42.75;-14.25;2017-01-01 19:00:00;25.42
20;-42.75;-14.25;2017-01-01 20:00:00;25.72
21;-42.75;-14.25;2017-01-01 21:00:00;25.72
22;-42.75;-14.25;2017-01-01 22:00:00;24.65
23;-42.75;-14.25;2017-01-01 23:00:00;21.97
24;-42.75;-14.25;2017-01-02 00:00:00;20.98
25;-42.75;-14.25;2017-01-02 01:00:00;20.05
26;-42.75;-14.25;2017-01-02 02:00:00;18.8
27;-42.75;-14.25;2017-01-02 03:00:00;18.12
28;-42.75;-14.25;2017-01-02 04:00:00;17.48
29;-42.75;-14.25;2017-01-02 05:00:00;17.18
30;-42.75;-14.25;2017-01-02 06:00:00;17.15
31;-42.75;-14.25;2017-01-02 07:00:00;17.5
32;-42.75;-14.25;2017-01-02 08:00:00;18.62
33;-42.75;-14.25;2017-01-02 09:00:00;21.03
34;-42.75;-14.25;2017-01-02 10:00:00;22.73
35;-42.75;-14.25;2017-01-02 11:00:00;24.1
36;-42.75;-14.25;2017-01-02 12:00:00;25.38
37;-42.75;-14.25;2017-01-02 13:00:00;26.58
38;-42.75;-14.25;2017-01-02 14:00:00;27.68
39;-42.75;-14.25;2017-01-02 15:00:00;28.18
40;-42.75;-14.25;2017-01-02 16:00:00;28.62
41;-42.75;-14.25;2017-01-02 17:00:00;28.92
42;-42.75;-14.25;2017-01-02 18:00:00;27.57
43;-42.75;-14.25;2017-01-02 19:00:00;27.27
44;-42.75;-14.25;2017-01-02 20:00:00;27.28
45;-42.75;-14.25;2017-01-02 21:00:00;26.88
46;-42.75;-14.25;2017-01-02 22:00:00;25.55
47;-42.75;-14.25;2017-01-02 23:00:00;22.92
48;-42.75;-14.25;2017-01-03 00:00:00;22.22
